appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
1345870,Franchise Hockey Manager 7,Out of the Park Developments,Sports,$324.8k ($191.9k - $457.7k),$3.5m,246.0,69.831,10000.0,0.3387094499259991
2337630,AFL 23,Nacon,Sports,$567.2k ($392.5k - $742k),$157.6m,254.0,40.95,10000.0,0.3351656776389109
3468640,AFL 26,Nacon,Sports,$254.8k ($170.9k - $338.7k),$157.6m,250.0,51.507,10000.0,0.3336200405056252
522230,The Fishing Club 3D: Co-op Sport Angling,Robot Riot UG (haftungsbeschränkt),Sports,$502.9k ($310.3k - $695.5k),$503.1k,254.0,0.0,150000.0,0.3284602343682735
2084720,Home Run High,"Kairosoft Co., Ltd",Sports,$86.5k ($45.4k - $127.6k),$5.6m,229.0,65.58300000000001,10000.0,0.3150173974219099
513560,Hunger Dungeon,No Stuck Game Studio,Strategy,$2.2k ($1.2k - $3.2k),$512.2k,745.0,66.97800000000001,350000.0,0.3689345180257933
4890,Cossacks II: Battle for Europe,GSC World Publishing,Strategy,$90.2k ($49.8k - $130.7k),$1.2m,132.0,81.62,150000.0,0.3688302502856802
278530,3 Stars of Destiny,KOMODO,Strategy,$88.3k ($17.6k - $159k),$17.2m,461.0,61.767,35000.0,0.3659874685796532
463980,Solitairica,Righteous Hammer Games,Strategy,$97.4k ($65.2k - $129.5k),$114.9k,226.0,70.578,150000.0,0.3653956660344594
1578220,Mister Furry: Hot Muscles,Red Six Publishing,Strategy,$32.9k ($21.3k - $44.5k),$185.6k,273.0,92.23,75000.0,0.3636608901488708
3139620,Frontline Crisis,Gamersky Games,Strategy,$82.8k ($53.2k - $112.4k),$60.7m,184.0,80.424,35000.0,0.3607963310248737
257730,Infinity Wars: Animated Trading Card Game,Lightmare Studios,Strategy,0,$0 ,1604.0,65.07900000000001,750000.0,0.3510254797963673
1516750,Alien Marauder,Vexan Studio,Strategy,$145.6k ($84.9k - $206.4k),$145.6k,262.0,56.916,75000.0,0.3475875779087814
863500,All Quiet in the Trenches,Totally Not Aliens,Strategy,$440.6k ($293.9k - $587.2k),$440.7k,131.0,90.85,10000.0,0.3359205849159626
201210,Pox Nora,Desert Owl Games LLC,Strategy,$13.7k ($7.4k - $20.1k),$14.8k,275.0,51.426,350000.0,0.3339515394988226
294160,Galcon 2: Galactic Conquest,"Hassey Enterprises, Inc.",Strategy,$2.1k ($1.3k - $2.9k),$228.9k,324.0,60.003,350000.0,0.3320752215881671
312790,Agarest: Generations of War 2,Ghostlight LTD,Strategy,$175.9k ($108.7k - $243k),$3.5m,371.0,51.732,10000.0,0.3243401230410696
544870,Blood Ties,Warfare Studios,Strategy,$3.3k ($666 - $5.9k),$65.7k,1327.0,55.998,35000.0,0.3212837333991549
3132860,天月麻雀 (Amatsuki Mahjong),Cyber Alice Limited,Strategy,$239.9k ($141k - $338.9k),$239.9k,893.0,0.0,35000.0,0.3207711449380676
581980,Candy Machine,Colossal Wreck,Strategy,$7.7k ($3.1k - $12.2k),$7.7k,2176.0,35.361,35000.0,0.3190510460051263
542480,Therian Saga,Virtys,Strategy,$14.9k ($9.6k - $20.2k),$101.9k,645.0,0.0,150000.0,0.2992513227523063
3107590,スペルトナエル,おまど,Strategy,$9.6k ($5.9k - $13.2k),$9.5k,136.0,88.155,10000.0,0.2623002650157313
823550,Booty Calls,Nutaku Publishing,Strategy,0,$34.7m,357.0,29.997,150000.0,0.2573709508322107
1041710,Sim Empire,TKG Inc.,Strategy,$46.4k ($22.7k - $70.1k),$46.4k,130.0,40.347,10000.0,0.2427004218708662
3183310,Forgotten Journey,FJ-Studio,Strategy,$2.8k ($1.4k - $4.2k),$2.8k,1402.0,0.0,10000.0,0.2228833003616352
2233120,A Quiet Place: The Road Ahead,Saber Interactive,Survival,$1.7m ($1.2m - $2.2m),$3.1m,1066.0,75.58,75000.0,0.4585149932020554
2436570,DRAGON QUEST BUILDERS,Square Enix,Survival,$733.2k ($448.6k - $1m),$1b,702.0,89.57,35000.0,0.4550373893770421
860020,EXFIL,MicroProse Software,Survival,$460.9k ($228k - $693.7k),$43.7m,1134.0,61.245,150000.0,0.453953227915211
407840,Guardians of Orion (Phase 2),DANKIE,Survival,$744.9k ($480.1k - $1m),$2.5m,679.0,52.98,350000.0,0.4435167663544683
1574900,Salt 2: Shores of Gold,Lavaboots Studios,Survival,$870.1k ($546.8k - $1.1m),$2.2m,637.0,85.42,75000.0,0.4412355768415568
667890,Dead Maze,Atelier 801,Survival,$15.7k ($11.7k - $19.6k),$7m,3819.0,0.0,1500000.0,0.4248018234362082
1253710,Garbage,GrabTheGames,Survival,$255.2k ($155.7k - $354.7k),$13.7m,550.0,66.98,150000.0,0.4237477996349574
