appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
1593030,Terra Nil,Devolver Digital,City Builder,$6.9m ($4.7m - $9.1m),$501.4m,4540.0,87.36,350000.0,9.240322473552737
907650,Stronghold: Warlords,Firefly Studios,City Builder,$2.7m ($1.6m - $3.8m),$45.4m,4122.0,65.26,350000.0,7.0033999863758485
2198510,New Cycle,Daedalic Entertainment,City Builder,$2.4m ($1.6m - $3.2m),$159.9m,3758.0,78.75,150000.0,8.334224011415351
1963040,The Lost Village,FunYoo Games,City Builder,$1.4m ($969k - $1.8m),$1.4m,3703.0,71.75,750000.0,7.641712107943431
1956800,Thriving City: Song,IndieArk,City Builder,$2.5m ($1.7m - $3.3m),$96m,3758.0,80.99,350000.0,8.57562457070182
2292800,Blacksmith Master,Hooded Horse,City Builder,$2m ($1.3m - $2.7m),$205m,3699.0,83.54,150000.0,8.811146921278205
2680550,Hollywood Animal,Weappy Studio,City Builder,$1m ($652k - $1.4m),$1m,3521.0,73.41,75000.0,7.748204973789886
979120,Autonauts,Curve Games,City Builder,$2.4m ($1.5m - $3.3m),$196.4m,3598.0,90.1,350000.0,9.487749170645243
1457320,Techtonica,Fire Hose Games,City Builder,$4.4m ($3.1m - $5.6m),$4.5m,3442.0,65.03,150000.0,6.953024771902905
304730,Train Fever,Good Shepherd Entertainment,City Builder,$2.8m ($1.9m - $3.7m),$91m,3319.0,61.33,350000.0,6.607195753667713
758690,Occupy Mars: The Game,▲ Pyramid Games,City Builder,$1.6m ($1.1m - $2.1m),$2.4m,3318.0,72.47,150000.0,7.678486436169931
979110,Space Haven,Bugbyte Ltd.,City Builder,$9.2m ($6m - $12.4m),$9.5m,3186.0,86.02,350000.0,9.082548852596895
1043260,Gladiator Guild Manager,GrabTheGames,City Builder,$1.5m ($980.5k - $2.1m),$13.7m,3309.0,81.24,350000.0,8.580916771277852
1643310,Dungeons 4,Kalypso Media,City Builder,$3.9m ($2.7m - $5.2m),$91.9m,3122.0,87.44,350000.0,9.221160927751983
40970,Stronghold Crusader HD (2012),Firefly Studios,City Builder,$2.1m ($1.2m - $3.1m),$45.4m,2930.0,97.68,1500000.0,10.263793724652576
1644320,Railway Empire 2,Kalypso Media,City Builder,$3.6m ($2.2m - $5m),$91.9m,3095.0,72.69,150000.0,7.725735836596441
809140,Cliff Empire,Lion's Shade,City Builder,$1.8m ($1.2m - $2.4m),$1.8m,3083.0,87.05,750000.0,9.170767328264745
1700870,Clanfolk,Hooded Horse,City Builder,$3.4m ($1.9m - $5m),$205m,2770.0,91.33,350000.0,9.60789718835078
1450900,Desynced,Forklift Interactive,City Builder,$2.2m ($1.5m - $2.9m),$7.4m,2714.0,82.56,150000.0,8.690716334848945
673610,Airport CEO,Apog Labs,City Builder,$4.8m ($3.6m - $5.9m),$4.8m,2719.0,83.49,750000.0,8.829339147456464
271240,Offworld Trading Company,Stardock Entertainment,City Builder,$8.4m ($5.3m - $11.5m),$62.5m,2698.0,76.97,150000.0,8.160153364493322
860890,Factory Town,Erik Asmussen,City Builder,$5.1m ($3.1m - $7.2m),$6.2m,2629.0,90.96,350000.0,9.560190956171605
1017900,Age of Empires: Definitive Edition,Xbox Game Studios,City Builder,$7m ($4.1m - $9.8m),$1.8b,2705.0,84.12,750000.0,8.923050685666853
1073910,Before We Leave,Team17,City Builder,$1.4m ($849.7k - $2m),$491.6m,2290.0,78.29,150000.0,8.269855592678564
1817800,Oddsparks: An Automation Adventure,HandyGames,City Builder,$2.2m ($1.4m - $2.9m),$16.6m,1979.0,83.82,150000.0,8.810395768515654
2195120,Go-Go Town!,CULT Games,City Builder,$1.5m ($1.1m - $2m),$2.2m,2234.0,94.3,150000.0,9.847924267144851
534370,Pure Farming 2018,Techland Publishing,City Builder,$1.1m ($699k - $1.6m),$12.7m,1861.0,72.48,350000.0,7.682258257158702
1360000,The Infected,DigX Studios,City Builder,$2.2m ($1.4m - $3.1m),$2.2m,1930.0,85.17,350000.0,8.954955791900336
496460,Life is Feudal: Forest Village,Bitbox Ltd.,City Builder,$5.5m ($3.5m - $7.6m),$21.3m,1935.0,65.89,350000.0,7.0500831421778845
728730,Holyday City: Reloaded,Holyday Studios,City Builder,$22.7k ($16.4k - $29k),$19.3m,1823.0,0.0,350000.0,0.3789836908919593
2262080,Omega Crafter,Preferred Networks,City Builder,$737.1k ($472.1k - $1m),$737.1k,1797.0,70.686,35000.0,7.432148983982213
253250,Stonehearth,(none),City Builder,$8.8m ($5.5m - $12.1m),$8.8m,1821.0,76.62,750000.0,8.141334523968405
