Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players
Casual,470220,UNO,"Action, Card & Board, Casual, Strategy",,,,Ubisoft Entertainment,Ubisoft Entertainment,205.0,steamspy,5639.0
Casual,17390,SPORE,"Adventure, Casual, Simulation",,,,Maxis™,Electronic Arts,456.0,steamspy,5549.0
Casual,2608350,Snezhinka:Sentinel Girls2,"Action, Casual, Indie, Roguelike, Shooter",,,,hinyari9,hinyari9,3.0,steamspy,5356.0
Casual,3191030,Nubby's Number Factory,"Casual, Horror, Indie, Puzzle, Strategy",,,,MogDogBlog Productions,MogDogBlog Productions,241.0,steamspy,4833.0
Casual,840800,Outlaws of the Old West,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Survival",,,,Virtual Basement LLC,Wandering Wizard,6.0,steamspy,4751.0
Casual,493540,Figment,"Action, Adventure, Casual, Indie, Puzzle",,,,Bedtime Digital Games,Bedtime Digital Games,2.0,steamspy,4205.0
Casual,562430,Alien Hostage,"Casual, Indie, Platformer, Puzzle, Simulation, Strategy",,,,Four Winged Studio,Conglomerate 5,0.0,steamspy,3966.0
Casual,2820820,Jotunnslayer: Hordes of Hel,"Action, Casual, Indie, RPG, Roguelike",,,,"Games Farm, ARTillery",Grindstone,189.0,steamspy,3295.0
Casual,351510,Quiplash,"Card & Board, Casual, Indie, Strategy",,,,"Jackbox Games, Inc.","Jackbox Games, Inc.",37.0,steamspy,2831.0
Casual,252410,SteamWorld Dig,"Action, Adventure, Casual, Indie, Metroidvania, Platformer, RPG",,,,Image & Form Games,Image & Form Games,41.0,steamspy,2764.0
Casual,2205850,"Dwarves: Glory, Death and Loot","Casual, Indie, RPG, Strategy",,,,Hamma Studios,"Sidekick Publishing, Gamersky Games",49.0,steamspy,2620.0
Casual,745740,Reflex,"Action, Casual, Indie, Puzzle",,,,Easy game,Game for people,8.0,steamspy,2611.0
Casual,3393750,我的人生,"Card & Board, Casual, Indie, Roguelike, Simulation, Strategy",,,,ZZ Games,Gamirror Games,3.0,steamspy,2193.0
Casual,343930,Fort Defense,"Adventure, Casual, Indie, RPG, Shooter, Strategy, Tower Defense, Visual Novel",,,,Creobit,8Floor,3.0,steamspy,2193.0
Casual,460920,Steep,"Action, Adventure, Casual, Racing, Simulation, Sports",,,,"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft,88.0,steamspy,2087.0
Casual,3184110,Widget Inc.,"Casual, Indie, Simulation, Strategy",,,,Leaping Turtle,Leaping Turtle,63.0,steamspy,1884.0
Casual,2089980,Extremely Powerful Capybaras,"Action, Casual, Indie, RPG, Roguelike, Shooter",,,,Studio Bravarda,"PM Studios, Inc., Logoi Games",4.0,steamspy,1689.0
Casual,795100,Friday the 13th: Killer Puzzle,"Action, Casual, Horror, Indie, Puzzle, Simulation, Strategy",,,,Blue Wizard Digital,Blue Wizard Digital,3.0,steamspy,1643.0
Casual,341000,Mad Games Tycoon,"Casual, Simulation, Strategy",,,,Eggcode,Eggcode,6.0,steamspy,1423.0
Casual,453090,Parkitect,"Casual, City Builder, Simulation, Strategy",,,,Texel Raptor,Texel Raptor,127.0,steamspy,1393.0
Casual,3204250,Lost But Found,"Casual, Simulation, Strategy",,,,Rogue Duck Interactive,"Rogue Duck Interactive, Gamersky Games",57.0,steamspy,1275.0
Casual,3263320,Carry The Glass,"Action, Adventure, Casual, Platformer, Puzzle, Simulation",,,,"Çağatay Demir, Enes Kaplan",SlugShot Games,67.0,steamspy,1263.0
Casual,435790,10 Second Ninja X,"Action, Casual, Indie, Platformer, Puzzle",,,,Four Circle Interactive,Curve Games,4.0,steamspy,1215.0
Casual,1866180,Hooked on You: A Dead by Daylight Dating Sim,"Adventure, Casual, Horror, Visual Novel",,,,Psyop,Behaviour Interactive Inc.,4.0,steamspy,1188.0
Casual,2600600,Internet Cafe Evolution,"Casual, Horror, Indie, Simulation, Strategy",,,,Tiny Flame Games,Tiny Flame Games,2.0,steamspy,1099.0
Casual,1482910,Idle Monster TD,"Casual, Strategy, Tower Defense",,,,Swell Games LLC,Swell Games LLC,35.0,steamspy,1088.0
Casual,461380,A Princess' Tale,"Adventure, Casual, Indie, RPG",,,,Warfare Studios,Warfare Studios,0.0,steamspy,1078.0
Casual,95400,ibb & obb,"Action, Adventure, Casual, Horror, Indie, Platformer, Puzzle",,,,"Sparpweed, Codeglue",Sparpweed,18.0,steamspy,1073.0
Casual,614910,#monstercakes,"Casual, Indie, Puzzle",,,,Paleno Games,Paleno Games,26.0,steamspy,1053.0
Casual,598810,Carcassonne - Tiles & Tactics,"Card & Board, Casual, Platformer, Puzzle, Strategy",,,,Artefacts Studio,Twin Sails Interactive,65.0,steamspy,1038.0
Casual,1215390,Animal Revolt Battle Simulator,"Action, Casual, Fighting, Indie, Simulation, Strategy",,,,VDimension,VDimension,97.0,steamspy,1034.0
Casual,298160,Eldevin,"Casual, Indie, Massively Multiplayer, RPG","5 Nov, 2014",True,,Hunted Cow Games,Hunted Cow Games,12.0,appdetails,971.0
Casual,3350140,漢字でGO! 集英社マンガ祭,Casual,,,,"集英社, Gotcha Gotcha Games",Gotcha Gotcha Games,19.0,steamspy,959.0
Casual,2824310,Lucky Hunter,"Adventure, Card & Board, Casual, RPG, Roguelike, Strategy",,,,159 Studio,indienova,10.0,steamspy,891.0
Casual,2383120,Garten of Banban 4,"Action, Adventure, Casual, Horror, Puzzle, Survival",,,,Euphoric Brothers,Euphoric Brothers,2.0,steamspy,884.0
Casual,2181720,Scarlet Tower,"Action, Casual, RPG, Roguelike, Survival",,,,Pyxeralia LLC,Pyxeralia LLC,9.0,steamspy,859.0
Casual,200010,Quantum Conundrum,"Adventure, Casual, Platformer, Puzzle, Strategy",,,,Airtight Games,Square Enix,2.0,steamspy,842.0
Casual,1038450,Nancy Drew: Midnight in Salem,"Adventure, Casual, Puzzle",,,,"HeR Interactive, Inc.","HeR Interactive, Inc.",8.0,steamspy,800.0
Casual,1261040,Streamer Life Simulator,"Action, Adventure, Casual, Indie, Simulation, Strategy",,,,Cheesecake Dev,Cheesecake Dev,16.0,steamspy,741.0
Casual,2529170,Storage Hustle,"Casual, RPG, Simulation",,,,Broken Clock,Broken Clock,9.0,steamspy,699.0
Casual,1166860,Rival Stars Horse Racing: Desktop Edition,"Casual, Racing, Simulation, Sports",,,,PikPok,PikPok,179.0,steamspy,680.0
Casual,397550,Deus Ex: Revision,"Action, Adventure, Casual, RPG, Shooter",,,,Ion Storm,Caustic Creative,36.0,steamspy,675.0
Casual,840390,Spacebase Startopia,"Casual, City Builder, Simulation, Strategy",,,,Realmforge Studios,Kalypso Media,3.0,steamspy,647.0
Casual,2977620,Squirreled Away,"Adventure, Casual",,,,Far Seas,"Amplifier Studios, THQ Nordic",14.0,steamspy,549.0
Casual,1078760,Motorcycle Mechanic Simulator 2021,"Casual, Indie, Racing, Simulation",,,,Play2Chill S.A.,"PlayWay S.A., Play2Chill S.A.",5.0,steamspy,528.0
Casual,1114940,I Wanna Maker,"Action, Adventure, Casual, Indie, Platformer",,,,The Elephant Crew,The Elephant Crew,27.0,steamspy,508.0
Casual,2602030,Entropy Survivors,"Action, Casual, RPG, Roguelike, Shooter",,,,Moving Pieces Interactive,First Break Labs,9.0,steamspy,500.0
Casual,333600,NEKOPARA Vol. 1,"Casual, Indie, Visual Novel",,,,NEKO WORKs,Sekai Project,34.0,steamspy,482.0
Casual,698870,Metaverse Keeper / 元能失控,"Action, Adventure, Casual, Indie, RPG, Roguelike, Shooter",,,,Sparks Games,Sparks Games,1.0,steamspy,466.0
Casual,667870,MINDNIGHT,"Casual, Indie, RPG, Strategy",,,,No Moon,No Moon,7.0,steamspy,415.0
Casual,3288270,Monster Care Simulator,"Casual, Simulation",,,,Banana Tiger Studio,Banana Tiger Studio,22.0,steamspy,409.0
Casual,1430760,Aquarist,"Casual, Indie, Simulation",,,,FreeMind S.A.,"PlayWay S.A., FreeMind S.A.",32.0,steamspy,338.0
Casual,1603640,The House of Da Vinci 3,"Adventure, Casual, Indie, Puzzle, Strategy",,,,Blue Brain Games,Blue Brain Games,10.0,steamspy,335.0
Casual,269670,BADLAND: Game of the Year Edition,"Action, Adventure, Casual, Indie, Platformer, Puzzle, Survival",,,,Frogmind,Frogmind,5.0,steamspy,334.0
Casual,400080,Out of Space,"Casual, Indie, Strategy",,,,Behold Studios,Behold Studios,16.0,steamspy,325.0
Casual,2822370,Chocolate Factory Simulator,"Action, Adventure, Casual, Indie, Simulation",,,,Games Incubator,"Games Incubator, PlayWay S.A.",3.0,steamspy,301.0
Casual,1604000,Milk outside a bag of milk outside a bag of milk,"Casual, Horror, Indie, Visual Novel",,,,Nikita Kryukov,Nikita Kryukov,20.0,steamspy,297.0
Casual,1133590,Stilt Fella,"Action, Casual, Indie, Platformer, Simulation",,,,September Games,September Games,0.0,steamspy,292.0
Casual,360870,Ultimate Tic-Tac-Toe,"Casual, Indie, Massively Multiplayer, Sports, Strategy",,,,Tigerish Games,Tigerish Games,1.0,steamspy,288.0
Casual,2910990,HYAKKI YAKO Survivor,"Action, Casual, Indie, Roguelike",,,,"pixyda, inc.","pixyda, inc.",1.0,steamspy,286.0
Casual,1205960,My Cute Fuhrer,"Adventure, Casual, Horror, Indie, Puzzle, Visual Novel",,,,CUTE ANIME GIRLS,Tranquility games,0.0,steamspy,281.0
Casual,788470,Stonies,"Casual, City Builder, Indie, Simulation, Strategy, Survival",,,,upjers,upjers,8.0,steamspy,266.0
Casual,667800,Loco Dojo,"Action, Casual, Indie",,,,Make Real,Make Real,0.0,steamspy,253.0
Casual,2089350,Hatsune Miku Logic Paint S,"Casual, Puzzle",,,,Crypton Future Media,KOMODO,8.0,steamspy,232.0
Casual,440540,Ara Fell: Enhanced Edition,"Action, Adventure, Casual, Indie, JRPG, RPG",,,,Stegosoft Games,DANGEN Entertainment,2.0,steamspy,220.0
Casual,1918530,Pocket Stables,"Casual, Indie, Racing, Simulation, Sports, Strategy",,,,"Kairosoft Co., Ltd","Kairosoft Co., Ltd",6.0,steamspy,219.0
Casual,491330,12 Labours of Hercules V: Kids of Hellas (Platinum Edition),"Adventure, Casual, Indie, Puzzle, Strategy",,,,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,0.0,steamspy,189.0
Casual,1957760,Islands & Trains,"Casual, City Builder, Indie, Simulation",,,,Akos Makovics,Future Friends Games,10.0,steamspy,167.0
Casual,381780,80 Days,"Adventure, Casual, Indie, Strategy, Visual Novel",,,,"inkle Ltd, Cape Guy Ltd",inkle Ltd,3.0,steamspy,161.0
Casual,2191490,Pocket Academy 3,"Casual, City Builder, Indie, Platformer, Simulation, Strategy",,,,"Kairosoft Co., Ltd","Kairosoft Co., Ltd",9.0,steamspy,160.0
Casual,1995870,Pixel Survivors : Roguelike,"Action, Adventure, Casual, RPG, Roguelike, Shooter, Survival",,,,Amrita,Amrita,3.0,steamspy,157.0
Casual,528250,Patchwork,"Card & Board, Casual, Indie, Strategy",,,,DIGIDICED,Twin Sails Interactive,4.0,steamspy,157.0
Casual,529590,"Please, Don't Touch Anything 3D","Adventure, Casual, Horror, Indie, Puzzle",,,,"Escalation Studios, Four Quarters",ForwardXP,1.0,steamspy,156.0
Casual,1575710,AutoChess of Gensokyo,"Casual, Massively Multiplayer, Strategy",,,,MyACG Studio,MyACG Studio,2.0,steamspy,151.0
Casual,2882870,Doll Impostor,"Action, Adventure, Casual, Horror, Indie, Puzzle, Strategy",,,,David Gallardo,HeadArrow,4.0,steamspy,150.0
Casual,584640,SUPER CHICKEN JUMPER,"Action, Adventure, Casual, Indie, Racing","24 Sep, 2021",False,"₩ 5,500","Sewer Cat, Heavy Sheep",Sewer Cat,3.0,appdetails,148.0
Casual,723390,Hunt Down The Freeman,"Action, Casual, Shooter",,,,Royal Rudius Entertainment,Royal Rudius Entertainment,4.0,steamspy,145.0
Casual,2087000,Idle Baker Boss,"Casual, Indie, Simulation",,,,Doopwee Games,Doopwee Games,10.0,steamspy,137.0
Casual,885000,Synth Riders,"Action, Casual, Indie, Sports",,,,Kluge Interactive,Kluge Interactive,8.0,steamspy,129.0
Casual,2059660,Cavern of Dreams,"Action, Adventure, Casual, Indie, Platformer",,,,Bynine Studio,Super Rare Originals,6.0,steamspy,128.0
Casual,1683340,Kayak VR: Mirage,"Adventure, Casual, Indie, Racing, Simulation, Sports",,,,Better Than Life,Better Than Life,1.0,steamspy,126.0
Casual,705280,Hakoniwa Explorer Plus,"Action, Adventure, Casual, RPG",,,,suxamethonium,PLAYISM,1.0,steamspy,121.0
Casual,1744910,[Chilla's Art] The Radio Station | 深夜放送,"Adventure, Casual, Puzzle, Simulation",,,,Chilla's Art,Chilla's Art,2.0,steamspy,121.0
Casual,623080,planetarian HD,"Adventure, Casual, Simulation, Visual Novel",,,,VisualArts/Key,VisualArts,3.0,steamspy,118.0
Casual,2307220,TSUNDERE MILFIN,"Casual, Indie, Puzzle, Visual Novel",,,,CUTE ANIME GIRLS,Tranquility games,7.0,steamspy,117.0
