Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players
Card & Board,1148760,I Was a Teenage Exocolonist,"Adventure, Card & Board, Indie, RPG, Simulation, Visual Novel",,,,Northway Games,Finji,101.0,steamspy,682.0
Card & Board,698640,Deep Sky Derelicts,"Card & Board, Indie, RPG, Roguelike, Strategy",,,,Snowhound Games,Fulqrum Publishing,5.0,steamspy,653.0
Card & Board,2140850,Looper Tactics,"Adventure, Card & Board, Casual, Indie, RPG, Strategy",,,,Inkstone Atelier,"2P Games, Gamersky Games",2.0,steamspy,625.0
Card & Board,965580,Root,"Card & Board, Indie, Puzzle, Simulation, Strategy",,,,Dire Wolf,Dire Wolf,140.0,steamspy,595.0
Card & Board,3085950,Banana-Shaped,"Card & Board, Casual, Indie",,,,SeluGames,SeluGames,47.0,steamspy,594.0
Card & Board,575720,Mighty Party,"Action, Adventure, Card & Board, JRPG, Massively Multiplayer, RPG, Strategy",,,,By Aliens L.L.C-FZ,By Aliens L.L.C-FZ,78.0,steamspy,568.0
Card & Board,2752720,Dice Player One,"Card & Board, Casual, Indie, Roguelike, Strategy",,,,KDream,KDream,7.0,steamspy,541.0
Card & Board,1455630,THE GAME OF LIFE 2,"Adventure, Card & Board, Casual, Simulation, Strategy",,,,Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,69.0,steamspy,523.0
Card & Board,3411020,Villages & Dungeons,"Card & Board, Indie, RPG, Strategy",,,,CaCaFrog Studio,Morax Games,9.0,steamspy,500.0
Card & Board,2198070,Cardboard Town,"Card & Board, Casual, City Builder, Roguelike, Simulation, Strategy",,,,"Stratera Games, cukuto","Rogue Duck Interactive, Gamersky Games",19.0,steamspy,474.0
Card & Board,1722860,Munchkin Digital,"Action, Adventure, Card & Board, Casual, RPG, Strategy",,,,Dire Wolf,Dire Wolf,32.0,steamspy,458.0
Card & Board,1913420,Fantasy of Caocao 2,"Adventure, Card & Board, Casual, RPG, Roguelike, Strategy",,,,桑尼游戏(Sunny Game),"桑尼游戏(Sunny Game), LoveStoryProject",3.0,steamspy,444.0
Card & Board,740240,Snake Eyes Dungeon,"Card & Board, Casual, Indie, RPG, Roguelike, Strategy",,,,Tetabester,"GrabTheGames, Tetabester, Inca Games",49.0,steamspy,423.0
Card & Board,1737690,Yacht Dice,"Card & Board, Casual, Indie, Simulation, Strategy",,,,GoodOldMan Studio,GoodOldMan Studio,6.0,steamspy,421.0
Card & Board,509580,The Lord of the Rings: Adventure Card Game - Definitive Edition,"Adventure, Card & Board, RPG, Strategy",,,,,Twin Sails Interactive,6.0,steamspy,417.0
Card & Board,1484280,Demeo,"Adventure, Card & Board, RPG, Strategy",,,,Resolution Games,Resolution Games,27.0,steamspy,386.0
Card & Board,1717640,Mahokenshi - The Samurai Deckbuilder,"Action, Card & Board, RPG, Strategy",,,,Game Source Studio,Iceberg Interactive,0.0,steamspy,368.0
Card & Board,2229560,Zet Zillions,"Card & Board, Roguelike, Strategy",,,,OTA IMON Studios,Raw Fury,4.0,steamspy,352.0
Card & Board,1240630,Hex of Steel,"Card & Board, Strategy",,,,War Frogs Studio,War Frogs Studio,62.0,steamspy,343.0
Card & Board,264690,Coin Crypt,"Card & Board, Indie, RPG, Roguelike",,,,"Wishes Ultd., Greg Lobanov",Greg Lobanov,1.0,steamspy,320.0
Card & Board,2438990,Ark Nova,"Card & Board, Strategy",,,,Dire Wolf,Dire Wolf,139.0,steamspy,285.0
Card & Board,539300,Solitaire,"Card & Board, Casual",,,,Sanuk Games,Nacon,7.0,steamspy,264.0
Card & Board,2091500,Warlords Under Siege,"Action, Card & Board, City Builder, Roguelike, Simulation, Strategy, Survival",,,,RedKar Devs,"RedKar Devs, Hawthorn Games",3.0,steamspy,261.0
Card & Board,351090,Regency Solitaire,"Card & Board, Casual, Puzzle, Strategy, Visual Novel",,,,Grey Alien Games,Grey Alien Games,7.0,steamspy,258.0
Card & Board,1036950,Super Jigsaw Puzzle: Generations,"Card & Board, Casual, Indie, Puzzle",,,,Flat Cat Games,Flat Cat Games,109.0,steamspy,237.0
Card & Board,427490,Shadowhand: RPG Card Game,"Card & Board, Casual, Puzzle, RPG, Strategy, Visual Novel",,,,Grey Alien Games,Positech Games,2.0,steamspy,231.0
Card & Board,438140,Star Realms,"Action, Card & Board, Indie, Strategy",,,,"Wise Wizard Games, LLC","Wise Wizard Games, LLC",51.0,steamspy,229.0
Card & Board,1585910,Roll,"Card & Board, Casual, Indie, Puzzle, Roguelike, Strategy",,,,Joseph Distler,Joseph Distler,7.0,steamspy,222.0
Card & Board,1866630,Throne of Bone,"Card & Board, Roguelike, Strategy",,,,Windmill Slam,Windmill Slam,2.0,steamspy,217.0
Card & Board,1060670,Taboos: Cracks,"Card & Board, Casual, Indie, Puzzle, Shooter, Visual Novel",,,,DSGame,DSGame,1.0,steamspy,217.0
Card & Board,645090,Zup! 5,"Action, Card & Board, Casual, Horror, Indie, Platformer, Puzzle, Survival",,,,Quiet River,Quiet River,2.0,steamspy,213.0
Card & Board,1639080,Sandwalkers,"Card & Board, RPG, Strategy, Survival",,,,Goblinz Studio,"Goblinz Publishing, H2 Interactive Co., Ltd.",3.0,steamspy,198.0
Card & Board,1458590,Anime Artist 3: Harem,"Card & Board, Casual, Indie, Puzzle",,,,Neoclassic Games,Neoclassic Games,0.0,steamspy,195.0
Card & Board,320430,Ascension: Deckbuilding Game,"Card & Board, Casual, Strategy",,,,"Playdek, Inc.","Playdek, Inc.",67.0,steamspy,186.0
Card & Board,518060,Chess Ultra,"Card & Board, Casual, Horror, Indie, Simulation, Sports, Strategy",,,,Ripstone,Ripstone,20.0,steamspy,179.0
Card & Board,455200,The Battle for Sector 219,"Card & Board, Indie, Strategy",,,,Large Visible Machine,"Large Visible Machine, Your Move Games",0.0,steamspy,176.0
Card & Board,1724390,Power Chord,"Card & Board, Roguelike, Strategy",,,,Big Blue Bubble,Big Blue Bubble,1.0,steamspy,159.0
Card & Board,2836860,The Horror at Highrook,"Card & Board, Horror, RPG, Simulation",,,,Nullpointer Games,"Nullpointer Games, Outersloth",5.0,steamspy,156.0
Card & Board,1101420,Dragon Call,"Card & Board, Casual, Indie, Massively Multiplayer, Roguelike, Strategy",,,,organelemonhouse,organelemonhouse,0.0,steamspy,148.0
Card & Board,2491200,TOUHOU GENSOU MAHJONG,"Card & Board, Casual, Indie, Sports",,,,D.N.A. Softwares,"Mediascape Co., Ltd.",2.0,steamspy,146.0
Card & Board,1709050,Nitro Kid,"Card & Board, Indie, Roguelike, Strategy",,,,Wildboy Studios,tinyBuild,6.0,steamspy,145.0
Card & Board,2999030,Exploding Kittens 2,"Action, Card & Board, Casual, Strategy",,,,Marmalade Game Studio Ltd,Marmalade Game Studio Ltd,4.0,steamspy,141.0
Card & Board,1178160,Blackjack Championship,"Card & Board, Indie, Massively Multiplayer, Simulation, Sports, Strategy",,,,BBstudio Inc.,BBstudio Inc.,48.0,steamspy,137.0
Card & Board,1015930,Blood Rage: Digital Edition,"Card & Board, City Builder, Strategy",,,,Endava,Twin Sails Interactive,4.0,steamspy,131.0
Card & Board,3234700,Break Siege,"Adventure, Card & Board, Indie, Shooter, Strategy",,,,FojoGames,Edigger,0.0,steamspy,127.0
Card & Board,2138100,Cabin of Shadows - Dueling Impostors-,"Card & Board, Casual, Horror, Indie, Strategy, Survival",,,,Nestopi Inc.,Nestopi Inc.,0.0,steamspy,124.0
Card & Board,1394130,Breach Wanderers,"Card & Board, Indie, RPG, Roguelike, Strategy",,,,Baronnerie Games,Baronnerie Games,6.0,steamspy,123.0
Card & Board,2544990,Hypnosis Card,"Card & Board, Casual, Simulation, Strategy",,,,Naku Kinoko,Lovely Games,0.0,steamspy,120.0
Card & Board,1058200,Pixel Puzzles Traditional Jigsaw Puzzles,"Action, Adventure, Card & Board, Casual, Indie, Puzzle, Simulation, Strategy",,,,Pixel Puzzles,Pixel Puzzles,7.0,steamspy,104.0
Casual,351940,The Descendant,"Adventure, Casual, Horror, Indie",,,,Gaming Corps AB,"Microids Indie, Microids",3.0,steamspy,126070.0
Casual,48000,LIMBO,"Action, Adventure, Casual, Horror, Indie, Platformer, Puzzle",,,,Playdead,Playdead,54.0,steamspy,27454.0
Casual,2296990,We Were Here Expeditions: The FriendShip,"Adventure, Casual, Indie, Puzzle",,,,Total Mayhem Games,Total Mayhem Games,74.0,steamspy,22179.0
Casual,431240,Golf With Your Friends,"Casual, Indie, Massively Multiplayer, Simulation, Sports, Strategy",,,,"Blacklight Interactive, Team17",Team17,1252.0,steamspy,20592.0
Casual,461040,PICO PARK,"Action, Adventure, Casual, Horror, Indie, Platformer, Puzzle",,,,TECOPARK,TECOPARK,378.0,steamspy,18259.0
Casual,522210,Serial Cleaner,"Action, Adventure, Casual, Indie, Puzzle",,,,Draw Distance,Curve Games,4.0,steamspy,13927.0
Casual,1216060,DNF Duel,"Action, Casual, Fighting, Sports, Strategy",,,,"NEOPLE Inc., Arc System Works, EIGHTING Co., Ltd.",NEXON,3.0,steamspy,12324.0
Casual,434170,The Jackbox Party Pack 3,"Card & Board, Casual, Indie, Strategy",,,,"Jackbox Games, Inc.","Jackbox Games, Inc.",227.0,steamspy,10894.0
Casual,1211630,The Jackbox Party Pack 7,"Card & Board, Casual, Indie",,,,"Jackbox Games, Inc.","Jackbox Games, Inc.",166.0,steamspy,10435.0
Casual,1386730,Wordle 2,"Casual, Indie, Platformer, Puzzle, Simulation, Sports",,,,PreoNus Games,Gigantum Games,0.0,steamspy,9690.0
Casual,397900,Business Tour - Board Game with Online Multiplayer,"Adventure, Card & Board, Casual, Horror, Indie, Massively Multiplayer, Simulation, Strategy",,,,8Floor,8Floor,251.0,steamspy,7614.0
Casual,201700,DiRT Showdown,"Action, Casual, Racing, Simulation, Sports",,,,Codemasters Racing Studio,Codemasters,3.0,steamspy,6327.0
