appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,Steam_User_Score_Percent,Total_Reviews_Count,Owners_SteamSpy
418250,Polaris Sector,Slitherine Ltd.,4X,$516.6k ($303.8k - $729.5k),$97.4m,542.0,70.12,405,100000 - 200000
718650,Driftland: The Magic Revival,Star Drifters,4X,$1m ($660.4k - $1.4m),$2.6m,541.0,73.8,1397,200000 - 500000
874390,The Battle of Polytopia,Midjiwan AB,4X,$3.3m ($1.7m - $5m),$3.4m,535.0,94.75,4304,500000 - 1000000
16810,Sid Meier's Civilization IV: Colonization,2K,4X,$1.8m ($1m - $2.6m),$1.7b,522.0,87.53,1195,500000 - 1000000
464880,Stars in Shadow,Iceberg Interactive,4X,$366.7k ($237.3k - $496.1k),$34.2m,464.0,77.82,708,20000 - 50000
1011390,Field of Glory: Empires,Slitherine Ltd.,4X,$830.5k ($544k - $1.1m),$97.4m,466.0,81.58,722,50000 - 100000
1597310,Airship: Kingdoms Adrift,indie.io,4X,$727.4k ($513.5k - $941.4k),$36.8m,417.0,75.52,817,50000 - 100000
1085660,Destiny 2,Bungie,Action,$912.3m ($522.3m - $1.3b),$912.4m,316651.0,75.59,132504,20000000 - 50000000
304390,FOR HONOR,Ubisoft,Action,$171.8m ($107.4m - $236.2m),$2.4b,216499.0,69.77,99547,5000000 - 10000000
1174180,Red Dead Redemption 2,Rockstar Games,Action,$439.2m ($323.3m - $555.1m),$770.8m,99759.0,92.08,742917,10000000 - 20000000
601150,Devil May Cry 5,"CAPCOM Co., Ltd.",Action,$132.4m ($83.4m - $181.5m),$1.8b,88735.0,96.25,106989,5000000 - 10000000
1254120,Bless Unleashed,VALOFE,Action,$9.8m ($6.6m - $12.9m),$27.3m,76273.0,63.33,210,2000000 - 5000000
2993780,FANTASY LIFE i: The Girl Who Steals Time,LEVEL5 Inc.,Action,$24.8m ($16.9m - $32.7m),$37.7m,65347.0,92.24,10503,200000 - 500000
2384580,DYNASTY WARRIORS: ORIGINS,"KOEI TECMO GAMES CO., LTD.",Action,$49.2m ($32.1m - $66.3m),$424.5m,69318.0,92.78,16959,500000 - 1000000
1172620,Sea of Thieves: 2025 Edition,Xbox Game Studios,Action,$273.9m ($193.4m - $354.4m),$1.8b,66632.0,89.34,312834,5000000 - 10000000
848450,Subnautica: Below Zero,Unknown Worlds Entertainment,Action,$48.7m ($38m - $59.5m),$185.6m,42057.0,90.36,91509,2000000 - 5000000
678960,CODE VEIN,Bandai Namco Entertainment,Action,$71.8m ($50.2m - $93.3m),$1.7b,33804.0,83.84,44324,2000000 - 5000000
1942280,Brotato,Blobfish,Action,$21.3m ($13.5m - $29m),$21.4m,38761.0,96.64,100024,2000000 - 5000000
48000,LIMBO,Playdead,Action,$6.1m ($3.8m - $8.5m),$21.1m,27454.0,91.75,38144,2000000 - 5000000
1693980,Dead Space,Electronic Arts,Action,$50.6m ($39.2m - $62.1m),$4.5b,28842.0,91.08,50379,500000 - 1000000
221380,Age of Empires II (Retired),Xbox Game Studios,Action,$63.8m ($34.6m - $92.9m),$1.8b,27618.0,95.8,83990,5000000 - 10000000
240760,Wasteland 2: Director's Cut,inXile Entertainment,Action,$9.8m ($7.3m - $12.3m),$49m,18576.0,82.38,4642,500000 - 1000000
2849080,Kingdom Rush 5: Alliance TD,Ironhide Game Studio,Action,$6.6m ($4.6m - $8.5m),$28.7m,15843.0,88.05,8930,500000 - 1000000
555160,Pavlov,Vankrupt Games,Action,$24.5m ($16.8m - $32.2m),$24.4m,17629.0,89.33,37579,1000000 - 2000000
274940,Depth,Digital Confectioners,Action,$11.7m ($7.9m - $15.4m),$11.7m,10775.0,89.64,23341,1000000 - 2000000
1645820,SurrounDead,PlaySurrounDead,Action,$6.6m ($4.5m - $8.8m),$6.6m,10713.0,92.33,16862,500000 - 1000000
292120,FINAL FANTASY XIII,Square Enix,Action,$8.3m ($6.3m - $10.4m),$1b,8320.0,74.84,15184,500000 - 1000000
1498570,THE KING OF FIGHTERS XV,SNK CORPORATION,Action,$10.3m ($6.5m - $14m),$35.7m,8205.0,83.98,7932,200000 - 500000
826630,Iron Harvest,Prime Matter,Action,$27.6m ($16.8m - $38.5m),$76.6m,8145.0,74.23,11229,1000000 - 2000000
