appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,Steam_User_Score_Percent,Total_Reviews_Count,Owners_SteamSpy
345820,Shantae and the Pirate's Curse,WayForward,Metroidvania,$1.5m ($1m - $2.1m),$11.9m,483.0,94.43,1760,50000 - 100000
861250,Cyber Shadow,Yacht Club Games,Metroidvania,$566.1k ($355.9k - $776.3k),$12.9m,435.0,84.0,1206,200000 - 500000
2523310,Lingo 2,Brenton Wildes,Metroidvania,$80.5k ($51.9k - $109.1k),$173.6k,441.0,94.05,370,0 - 20000
3099000,Guns of Fury,Gelato Games Ltd,Metroidvania,$226.2k ($160.6k - $291.8k),$226.2k,419.0,87.76,662,0 - 20000
205730,Insanely Twisted Shadow Planet,Xbox Game Studios,Metroidvania,$221k ($114.5k - $327.5k),$1.8b,408.0,88.41,552,200000 - 500000
1231880,"Haiku, the Robot",Mister Morris Games,Metroidvania,$713.4k ($516.9k - $909.9k),$4m,407.0,91.0,2300,100000 - 200000
1413870,Shadow Man Remastered,Nightdive Studios,Metroidvania,$399.5k ($298.8k - $500.3k),$20.5m,400.0,94.77,1263,200000 - 500000
339200,Oceanhorn: Monster of Uncharted Seas,Cornfox & Brothers Ltd.,Metroidvania,$969.6k ($632.6k - $1.3m),$969.1k,387.0,81.58,1292,200000 - 500000
368620,Timespinner,Chucklefish,Metroidvania,$1.3m ($838.3k - $1.7m),$84m,381.0,85.75,2659,200000 - 500000
537450,ReCore: Definitive Edition,Xbox Game Studios,Metroidvania,$633.4k ($421.1k - $845.8k),$1.8b,380.0,61.9,1315,100000 - 200000
311190,Super Panda Adventures,Paul Schneider,Metroidvania,$143.2k ($50.4k - $236k),$512.2k,368.0,94.24,712,20000 - 50000
2394650,Crypt Custodian,Kyle Thompson,Metroidvania,$639.7k ($435.1k - $844.3k),$680.4k,351.0,97.02,2282,50000 - 100000
449610,Monster Boy and the Cursed Kingdom,FDG Entertainment,Metroidvania,$807k ($573.3k - $1m),$1.2m,355.0,88.6,2351,100000 - 200000
247240,Volgarr the Viking,Crazy Viking Studios,Metroidvania,$1.2m ($770.7k - $1.7m),$1.2m,332.0,84.45,1601,200000 - 500000
361230,Super Daryl Deluxe,Dan & Gary Games,Metroidvania,$243k ($96k - $390k),$243k,328.0,90.37,218,50000 - 100000
277890,Shantae: Risky's Revenge - Director's Cut,WayForward,Metroidvania,$546.7k ($344.7k - $748.6k),$11.9m,326.0,87.77,1169,100000 - 200000
1123450,Chicory: A Colorful Tale,Finji,Metroidvania,$1.2m ($927.1k - $1.5m),$24.5m,313.0,97.57,3174,200000 - 500000
278360,A Story About My Uncle,Coffee Stain Publishing,Platformer,$2.2m ($1.2m - $3.1m),$592.7m,189049.0,92.72,12129,5000000 - 10000000
367520,Hollow Knight,Team Cherry,Platformer,$98.6m ($68.7m - $128.4m),$176.7m,95428.0,97.0,448967,5000000 - 10000000
203160,Tomb Raider,Crystal Dynamics,Platformer,$76.5m ($52.3m - $100.7m),$244.2m,89494.0,95.99,161223,5000000 - 10000000
424840,Little Nightmares,BANDAI NAMCO Entertainment,Platformer,$22.6m ($13.7m - $31.5m),$478.1m,77529.0,94.8,50203,5000000 - 10000000
1253920,Rogue Legacy 2,Cellar Door Games,Platformer,$16.3m ($10.7m - $21.9m),$26.4m,22811.0,91.0,13845,1000000 - 2000000
2285150,The Front,Samar Studio,Platformer,$5.1m ($3.4m - $6.7m),$5.1m,19524.0,68.33,9441,200000 - 500000
1147560,Skul: The Hero Slayer,NEOWIZ,Platformer,$24.2m ($17m - $31.5m),$124.1m,18876.0,93.39,49529,1000000 - 2000000
1509960,PICO PARK,TECOPARK,Platformer,$13.5m ($7.7m - $19.3m),$17.3m,16394.0,91.5,23149,1000000 - 2000000
2273430,BlazBlue Entropy Effect,91Act,Platformer,$17.4m ($11.6m - $23.2m),$17.4m,11842.0,94.84,28142,500000 - 1000000
339610,Freestyle 2: Street Basketball,JOYCITY,Platformer,$27.5m ($18.7m - $36.4m),$27.7m,10305.0,66.43,143,200000 - 500000
860510,Little Nightmares II,BANDAI NAMCO Entertainment,Platformer,$26.6m ($17.9m - $35.4m),$478.1m,10484.0,93.02,45959,1000000 - 2000000
1382330,Persona 5 Strikers,SEGA,Platformer,$22.5m ($15m - $29.9m),$1.6b,8654.0,89.41,12291,1000000 - 2000000
241600,Rogue Legacy,Cellar Door Games,Platformer,$8.9m ($5.8m - $11.9m),$26.4m,8049.0,92.41,15645,200000 - 500000
1167630,Teardown,Tuxedo Labs,Platformer,$52.5m ($36.7m - $68.2m),$52.4m,8221.0,95.79,108885,2000000 - 5000000
463220,Dungeon of Zolthan,New Reality Games,Platformer,$15.1k ($8.1k - $22.2k),$603.1k,6356.0,78.85,383,100000 - 200000
260230,Valiant Hearts: The Great War / Soldats Inconnus : Mémoires de la Grande Guerre,Ubisoft,Platformer,$6m ($3.8m - $8.2m),$2.4b,5683.0,95.45,23613,500000 - 1000000
969990,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,THQ Nordic,Platformer,$15.2m ($9.6m - $20.7m),$387.4m,5058.0,94.25,13573,1000000 - 2000000
788100,Neon Abyss,Team17,Platformer,$27.4m ($16.9m - $37.9m),$491.6m,6259.0,86.33,19507,2000000 - 5000000
3261010,East Trade Tycoon: Inheritance,PandaUpStudio,Platformer,$232k ($46.4k - $417.6k),$242k,4951.0,92.06,63,100000 - 200000
327030,Worms W.M.D,Team17,Platformer,$5.9m ($3.4m - $8.4m),$491.6m,4613.0,86.28,9149,500000 - 1000000
434530,Flobe,Volens Nolens Games,Platformer,$1.5k ($794 - $2.3k),$658.4k,4016.0,84.62,91,50000 - 100000
2525380,Tomb Raider IV-VI Remastered,Aspyr,Platformer,$1.3m ($886.5k - $1.8m),$18m,3831.0,90.09,1211,20000 - 50000
233980,UnEpic,Unepic Games,Platformer,$4.4m ($2.8m - $6.1m),$5m,3042.0,90.73,5285,500000 - 1000000
953490,CARRION,Devolver Digital,Platformer,$11.1m ($8.2m - $14m),$501.4m,3730.0,94.65,27008,1000000 - 2000000
224760,FEZ,Trapdoor,Platformer,$4.7m ($2.7m - $6.7m),$4.7m,2526.0,93.24,11323,1000000 - 2000000
1794960,Sonic Origins,SEGA,Platformer,$4.2m ($2.9m - $5.6m),$1.6b,2648.0,75.03,4325,500000 - 1000000
1177980,"Little Kitty, Big City",Double Dagger Studio,Platformer,$6.8m ($4.7m - $9m),$6.8m,2936.0,96.48,9305,200000 - 500000
1533390,Gorilla Tag,Another Axiom Inc.,Platformer,$26.7m ($16.8m - $36.6m),$26.7m,2491.0,93.36,42529,1000000 - 2000000
514360,Freedom Fighter,Volens Nolens Games,Platformer,$1.8k ($376 - $3.3k),$658.4k,2329.0,68.12,69,20000 - 50000
487700,Conan the mighty pig,Mihai Morosanu,Platformer,$12.2k ($6.6k - $17.8k),$41.4k,2415.0,92.31,910,100000 - 200000
619700,Steel Rats,Tate Multimedia,Platformer,$268.1k ($62.5k - $473.6k),$1.7m,2194.0,63.58,302,200000 - 500000
414920,Corgi Warlock,Xander's Corgi Arcade,Platformer,$19.9k ($3.9k - $35.8k),$19.9k,2247.0,80.49,328,50000 - 100000
572890,Pikuniku,Devolver Digital,Platformer,$2.9m ($1.7m - $4.1m),$501.4m,2084.0,96.01,8978,500000 - 1000000
1701520,Afterimage,Maximum Entertainment,Platformer,$3.1m ($2.1m - $4.1m),$32.3m,2056.0,79.79,6136,200000 - 500000
225080,Brothers - A Tale of Two Sons,505 Games,Platformer,$5.5m ($3.4m - $7.6m),$293.6m,2019.0,94.48,33672,1000000 - 2000000
1522870,Supraland Six Inches Under,Supra Games,Platformer,$1m ($713.2k - $1.4m),$5.6m,1964.0,96.42,3545,500000 - 1000000
1195290,Moncage,XD,Platformer,$2.6m ($1.7m - $3.6m),$84.3m,1942.0,92.36,5024,100000 - 200000
641080,Trials Rising,Ubisoft,Platformer,$2.2m ($1.4m - $3m),$2.4b,1750.0,63.23,2717,500000 - 1000000
3218600,Game of Fate 2: A Century's Promise,EpicDream Games,Platformer,$393.6k ($245.4k - $541.7k),$957.3k,1668.0,80.0,960,20000 - 50000
421170,Indivisible,505 Games,Platformer,$3.9m ($2.5m - $5.4m),$293.6m,1627.0,72.16,2378,100000 - 200000
978300,Saints Row: The Third Remastered,Deep Silver,Platformer,$3.9m ($2.1m - $5.7m),$567.3m,1542.0,71.93,3238,50000 - 100000
1592670,Soda Crisis,bilibili,Platformer,$538.4k ($352.5k - $724.3k),$133.8m,1608.0,93.36,2862,200000 - 500000
609320,FAR: Lone Sails,Assemble Entertainment,Platformer,$3.1m ($1.9m - $4.2m),$24.3m,1437.0,95.22,22538,500000 - 1000000
2458530,魔女的夜宴,HIKARI FIELD,Platformer,$5.5m ($3.5m - $7.4m),$46.9m,1362.0,98.62,8208,100000 - 200000
1233570,Mirror's Edge Catalyst,Electronic Arts,Platformer,$4m ($2.6m - $5.4m),$4.5b,1427.0,80.0,13283,500000 - 1000000
1149440,Dragon Marked For Death,"INTI CREATES CO., LTD.",Platformer,$1.2m ($890.8k - $1.6m),$8.5m,1344.0,77.9,932,100000 - 200000
219830,King Arthur's Gold,Transhuman Design,Platformer,0,$83.1k,1294.0,83.63,2652,500000 - 1000000
1578860,Billionaire Lovers,Ayacat Games,Platformer,$88.1k ($49.9k - $126.3k),$88.1k,1342.0,95.18,3526,200000 - 500000
115800,Owlboy,D-Pad Studio,Platformer,$4.9m ($3.4m - $6.5m),$5m,1287.0,86.07,3561,500000 - 1000000
3263320,Carry The Glass,SlugShot Games,Platformer,$1.3m ($769.9k - $1.8m),$1.2m,1263.0,76.82,2304,100000 - 200000
481510,Night in the Woods,Finji,Platformer,$7.6m ($5.5m - $9.7m),$24.5m,1266.0,94.67,16807,1000000 - 2000000
242550,Rayman Legends,Ubisoft,Platformer,$9.3m ($6.4m - $12.1m),$2.4b,1252.0,89.45,10062,500000 - 1000000
611860,Aborigenus,Flying Islands Team,Platformer,$9.2k ($4.6k - $13.9k),$30.6k,1220.0,80.71,140,20000 - 50000
435790,10 Second Ninja X,Curve Games,Platformer,$67.1k ($36.5k - $97.8k),$196.4m,1215.0,84.56,285,500000 - 1000000
720560,Vigil: The Longest Night,Glass Heart Games,Platformer,$1.4m ($992.6k - $1.8m),$1.4m,1146.0,85.83,3141,200000 - 500000
1306630,Lost Ruins,DANGEN Entertainment,Platformer,$2.5m ($1.7m - $3.3m),$26.4m,1139.0,87.12,4494,100000 - 200000
95400,ibb & obb,Sparpweed,Platformer,$810.5k ($473.4k - $1.1m),$810.5k,1073.0,89.45,3961,500000 - 1000000
2500750,Only Climb: Better Together,Exbyte Studios,Platformer,$764.3k ($479.3k - $1m),$764k,1034.0,54.79,2628,100000 - 200000
346120,Boring Man - Online Tactical Stickman Combat,Spasman Games,Platformer,$1.6k ($1.1k - $2k),$1.6k,1002.0,85.07,67,200000 - 500000
1333200,Song of Nunu: A League of Legends Story,Riot Forge,Platformer,$1.7m ($1.2m - $2.2m),$15.8m,992.0,94.45,2559,200000 - 500000
523670,Adventures Of Fluzz,Volens Nolens Games,Platformer,$923 ($462 - $1.3k),$658.4k,984.0,71.43,14,20000 - 50000
1051200,Trover Saves the Universe,"Squanch Games, Inc.",Platformer,$4.5m ($2.9m - $6.1m),$40.5m,951.0,91.18,2732,50000 - 100000
393520,Iconoclasts,Bifrost Entertainment,Platformer,$2m ($1.4m - $2.6m),$2m,924.0,86.83,4032,200000 - 500000
2703850,Rooftops & Alleys: The Parkour Game,MLMEDIA,Platformer,$2.6m ($1.9m - $3.3m),$2.6m,916.0,95.36,6167,200000 - 500000
1983710,Dungeon Village 2,"Kairosoft Co., Ltd",Platformer,$417.8k ($252.1k - $583.4k),$5.6m,911.0,86.89,572,50000 - 100000
2835110,Sea Fantasy,METASLA,Platformer,$239.4k ($168.3k - $310.5k),$239.4k,903.0,86.31,504,20000 - 50000
1352930,HAAK,OKJOY,Platformer,$670.2k ($361.2k - $979.2k),$1.7m,895.0,90.3,2938,100000 - 200000
976890,Hidden Deep,Daedalic Entertainment,Platformer,$2.5m ($1.7m - $3.3m),$159.9m,891.0,77.04,3998,200000 - 500000
200010,Quantum Conundrum,Square Enix,Platformer,$675.6k ($443.5k - $907.8k),$1b,842.0,84.07,1708,200000 - 500000
457210,SEUM: Speedrunners from Hell,Pine Studio,Platformer,$452.3k ($290.6k - $614.1k),$29m,841.0,95.6,2023,200000 - 500000
1203630,Record of Lodoss War-Deedlit in Wonder Labyrinth-,WSS playground,Platformer,$1.3m ($970.5k - $1.8m),$24.7m,833.0,92.88,6701,200000 - 500000
217200,Worms Armageddon,Team17 Digital Ltd,Platformer,$4.1m ($2.4m - $5.9m),$25.9m,826.0,94.38,7491,1000000 - 2000000
611350,Evil Tag,HFM Games,Platformer,$45.7k ($9.1k - $82.4k),$3.2m,820.0,67.21,619,100000 - 200000
235210,STRIDER / ストライダー飛竜,Capcom,Platformer,$1.5m ($917.4k - $2.1m),$248m,809.0,84.03,2098,500000 - 1000000
230700,La-Mulana,PLAYISM,Platformer,$1.2m ($790.7k - $1.6m),$86.3m,794.0,79.56,1972,200000 - 500000
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,Gaijin Games,Platformer,$436.3k ($213.5k - $659.2k),$1.9m,772.0,93.91,1608,20000 - 50000
2761610,Creator of Another World,kuetaro (くえたろう),Platformer,$186.1k ($129.5k - $242.6k),$186k,753.0,86.31,241,0 - 20000
2273880,Arms Evolution: ZOMBIE DESTROYER,LP Game,Platformer,$63.6k ($40k - $87.1k),$63.6k,742.0,64.68,269,50000 - 100000
322110,20XX,Batterystaple Games,Platformer,$1.7m ($1.2m - $2.2m),$3m,701.0,91.68,3857,200000 - 500000
323320,Grow Home,Atari,Platformer,$2.2m ($1.4m - $3m),$37.7m,693.0,93.15,3886,200000 - 500000
264730,Deadly 30,Ignatus Zuk and Gonzalo Villagomez,Platformer,$276.4k ($146.1k - $406.7k),$276.4k,677.0,79.82,1140,100000 - 200000
1776970,月に寄りそう乙女の作法,HIKARI FIELD,Platformer,$995.1k ($573.5k - $1.4m),$46.9m,676.0,97.19,3061,50000 - 100000
249870,Scribblenauts Unmasked: A DC Comics Adventure,Warner Bros. Interactive Entertainment,Platformer,$2.1m ($1.2m - $3.1m),$446.3m,628.0,80.97,1881,200000 - 500000
843200,Alien Hominid Invasion,The Behemoth,Platformer,$1m ($758k - $1.3m),$72.6m,625.0,88.39,1533,200000 - 500000
1429500,Frontier Hunter: Erza’s Wheel of Fortune,IceSitruuna,Platformer,$1m ($631.2k - $1.5m),$1.6m,608.0,82.83,1695,100000 - 200000
785790,WHAT THE GOLF?,Triband,Platformer,$1.4m ($1m - $1.8m),$1.9m,605.0,93.78,4162,200000 - 500000
2717880,The Rogue Prince of Persia,Ubisoft,Platformer,$1m ($717.7k - $1.2m),$2.4b,547.0,89.16,1772,50000 - 100000
227600,Castle of Illusion,SEGA,Platformer,$1.4m ($969.9k - $1.9m),$1.6b,579.0,90.23,3153,200000 - 500000
71250,Sonic Adventure DX,SEGA,Platformer,$3.5m ($2.4m - $4.5m),$1.6b,586.0,92.8,14557,500000 - 1000000
242820,140,Carlsen Games,Platformer,$405k ($315.4k - $494.7k),$405k,540.0,94.36,2022,200000 - 500000
212800,Super Crate Box,Vlambeer,Platformer,0,$8.5m,523.0,79.55,44,500000 - 1000000
230270,N++ (NPLUSPLUS),Metanet Software Inc.,Platformer,$2.3m ($1.5m - $3m),$2.3m,511.0,95.05,2665,200000 - 500000
1114940,I Wanna Maker,The Elephant Crew,Platformer,0,$0 ,508.0,0.0,0,500000 - 1000000
1265780,The Lord of the Rings: Gollum,Daedalic Entertainment,Platformer,$648.8k ($471.6k - $826k),$159.9m,502.0,41.47,750,100000 - 200000
1983260,Dungeons of Hinterberg,Curve Games,Platformer,$1.3m ($953.9k - $1.8m),$196.4m,486.0,93.79,1948,100000 - 200000
394970,DEADBOLT,Hopoo Games,Platformer,$1.6m ($991.5k - $2.2m),$1.6m,478.0,96.15,4728,200000 - 500000
363440,Mega Man Legacy Collection,Capcom,Platformer,$1.7m ($1m - $2.4m),$248m,466.0,87.56,3544,200000 - 500000
2286770,Paper Bride 4 Bound Love,HeartBeat Plus,Platformer,$314.1k ($203.8k - $424.3k),$1.7m,447.0,77.35,499,20000 - 50000
331870,AER Memories of Old,Daedalic Entertainment,Platformer,$942.4k ($587.7k - $1.2m),$159.9m,440.0,87.07,4902,200000 - 500000
591420,Zup! 4,Quiet River,Platformer,$160.2k ($98.9k - $221.5k),$2.4m,435.0,90.6,2861,200000 - 500000
882790,Fate Seeker,JSL Entertainment,Puzzle,$8.5m ($5.2m - $11.7m),$13m,16334.0,90.56,11855,500000 - 1000000
490220,Prismata,Lunarch Studios,Puzzle,$4.1k ($2.2k - $5.9k),$30.4k,121154.0,90.6,117,1000000 - 2000000
835960,The Talos Principle 2,Devolver Digital,Puzzle,$4.9m ($3.5m - $6.3m),$501.4m,7258.0,95.26,11665,200000 - 500000
641990,The Escapists 2,Team17,Puzzle,$12.7m ($7.3m - $18m),$491.6m,11156.0,90.97,25591,2000000 - 5000000
1127500,Mini Motorways,Dinosaur Polo Club,Puzzle,$10.6m ($6.8m - $14.3m),$18.4m,9914.0,96.24,22028,500000 - 1000000
1289310,Helltaker,vanripper,Puzzle,$50.4k ($29.5k - $71.2k),$83.4k,6489.0,99.0,399,2000000 - 5000000
1097200,Twelve Minutes,Annapurna Interactive,Puzzle,$4m ($2.9m - $5m),$188.4m,4996.0,72.77,7041,500000 - 1000000
1592190,BONELAB,Stress Level Zero,Puzzle,$15m ($9.8m - $20.2m),$49.4m,5616.0,80.38,16145,500000 - 1000000
623940,HIVESWAP: ACT 1,"What Pumpkin Games, Inc.",Puzzle,$800.8k ($518k - $1m),$1.1m,4718.0,94.3,3069,200000 - 500000
257510,The Talos Principle,Devolver Digital,Puzzle,$14.9m ($11m - $18.8m),$501.4m,3977.0,95.24,28601,1000000 - 2000000
320300,Car Mechanic Simulator 2015,PlayWay S.A.,Puzzle,$6.6m ($4.1m - $9m),$275.8m,4326.0,92.31,12037,500000 - 1000000
304430,INSIDE,Playdead,Puzzle,$14.9m ($10.6m - $19.2m),$21.1m,3840.0,97.08,65507,2000000 - 5000000
236450,PAC-MAN Championship Edition DX+,BANDAI NAMCO Entertainment,Puzzle,$2m ($1.1m - $3m),$478.1m,3692.0,96.38,4752,200000 - 500000
2291850,Underground Blossom,Rusty Lake,Puzzle,$856.3k ($548.8k - $1.1m),$9.3m,3916.0,98.28,6232,200000 - 500000
389270,Through Abandoned: The Underground City,Conglomerate 5,Puzzle,$10.5k ($5.6k - $15.3k),$2.5m,3552.0,80.13,639,100000 - 200000
289690,LARA CROFT AND THE TEMPLE OF OSIRIS,Crystal Dynamics,Puzzle,$1m ($634.1k - $1.5m),$244.2m,3399.0,67.19,1207,500000 - 1000000
232790,Broken Age,Double Fine Productions,Puzzle,$4.8m ($3.3m - $6.4m),$21.4m,3134.0,83.24,4535,200000 - 500000
415960,Energy Cycle,Sometimes You,Puzzle,$17.1k ($7.1k - $27k),$605.9k,2575.0,75.68,74,200000 - 500000
1109570,Word Game,Team9,Puzzle,$2.9m ($1.7m - $4.2m),$2.9m,2682.0,93.72,5721,200000 - 500000
502400,Redactem,Conglomerate 5,Puzzle,$9.6k ($5.4k - $13.9k),$2.5m,2558.0,62.65,166,50000 - 100000
2716400,The Rise of the Golden Idol,Playstack,Puzzle,$1.7m ($1.1m - $2.2m),$116.9m,2392.0,93.81,3201,200000 - 500000
437180,Chill the Piro,Sergey Marchenko,Puzzle,$6.2k ($1.2k - $11.2k),$6.2k,2254.0,88.89,18,20000 - 50000
221260,Little Inferno,Tomorrow Corporation,Puzzle,$4.6m ($2.7m - $6.5m),$9.5m,2060.0,96.22,8646,500000 - 1000000
464340,Syberia 3,Microids,Puzzle,$2.9m ($2m - $3.8m),$27.1m,2119.0,51.51,3087,200000 - 500000
3028500,Cakey's Twisted Bakery,TinyMindz,Puzzle,$403.5k ($80.7k - $726.4k),$403k,2036.0,85.71,35,50000 - 100000
1157340,Hentai Killer,PlatSTUDIO,Puzzle,$48.6k ($9.7k - $87.5k),$58.3k,2008.0,78.94,2374,50000 - 100000
1062160,Poly Bridge 2,Dry Cactus,Puzzle,$7.5m ($4.4m - $10.5m),$12.7m,1852.0,95.23,7644,200000 - 500000
413420,Danganronpa 2: Goodbye Despair,"Spike Chunsoft Co., Ltd.",Puzzle,$10.4m ($7.5m - $13.3m),$94.5m,1848.0,96.23,26031,500000 - 1000000
653530,Return of the Obra Dinn,3909,Puzzle,$13.1m ($10m - $16.2m),$37.6m,1766.0,96.75,28744,500000 - 1000000
684410,Bridge Constructor Portal,Headup,Puzzle,$904.9k ($541.3k - $1.2m),$14m,1720.0,91.58,6162,200000 - 500000
321150,Melissa K. and the Heart of Gold Collector's Edition,KISS ltd,Puzzle,$114.8k ($22.9k - $206.7k),$1.3m,1586.0,65.79,190,200000 - 500000
2495050,Merge Adventure: Magic Dragons,Neverest Games,Puzzle,$63.4k ($45.7k - $81.1k),$63.4k,1577.0,0.0,0,100000 - 200000
1931770,Chants of Sennaar,Focus Entertainment,Puzzle,$6.8m ($4.8m - $8.8m),$728.4m,1570.0,98.34,23969,200000 - 500000
1436700,Trine 5: A Clockwork Conspiracy,THQ Nordic,Puzzle,$4m ($2.4m - $5.6m),$387.4m,1554.0,91.3,2206,200000 - 500000
897330,Coloring Pixels,ToastieLabs,Puzzle,$560.7k ($402.9k - $718.5k),$614.1k,1535.0,96.67,60,500000 - 1000000
34900,Bad Rats: the Rats' Revenge,Strategy First,Puzzle,$176.3k ($87.5k - $265k),$11.8m,1526.0,77.41,7064,500000 - 1000000
736260,Baba Is You,Hempuli Oy,Puzzle,$13.5m ($8.9m - $18.2m),$14m,1493.0,97.94,19298,1000000 - 2000000
1624540,Storyteller,Annapurna Interactive,Puzzle,$6m ($3.9m - $8.2m),$188.4m,1475.0,88.08,7248,200000 - 500000
314660,Oddworld: New 'n' Tasty,"Oddworld Inhabitants, Inc.",Puzzle,$3m ($2m - $4m),$3m,1430.0,86.99,2829,200000 - 500000
1967430,Ghost Trick: Phantom Detective,"CAPCOM Co., Ltd.",Puzzle,$3.8m ($2.6m - $5m),$1.8b,1459.0,97.65,5223,100000 - 200000
546050,Puyo PuyoTetris,SEGA,Puzzle,$3.5m ($2.4m - $4.5m),$1.6b,1355.0,84.17,4655,500000 - 1000000
744190,Rusty Lake Paradise,Rusty Lake,Puzzle,$481.9k ($291.8k - $671.9k),$9.3m,1336.0,95.75,5936,200000 - 500000
948900,macdows 95,Yunus Ayyildiz,Puzzle,$11.2k ($6k - $16.5k),$54.2k,1215.0,92.82,515,20000 - 50000
1361320,The Room 4: Old Sins,Fireproof Games,Puzzle,$2.5m ($1.7m - $3.4m),$9.9m,1165.0,98.56,16618,200000 - 500000
1672670,彷徨之街 The Street of Adrift,LoveStoryProject,Puzzle,$191.1k ($108.7k - $273.6k),$856.9k,1096.0,76.12,2178,100000 - 200000
502150,Interstellar Logistics Inc,Exalted Guy Interactive,Puzzle,$6.8k ($1.3k - $12.3k),$6.8k,1009.0,82.35,17,50000 - 100000
359310,Evoland 2,Shiro Games,Puzzle,$2m ($1.2m - $2.7m),$90.7m,1004.0,88.56,1810,200000 - 500000
437920,Tricky Towers,WeirdBeard,Puzzle,$2.8m ($1.7m - $3.9m),$2.8m,936.0,90.84,11956,1000000 - 2000000
1791590,Sunset Hills,Cotton Game,Puzzle,$168.8k ($105.6k - $232k),$627.9k,950.0,59.53,430,20000 - 50000
469610,Rick and Morty: Virtual Rick-ality,Adult Swim Games,Puzzle,$6.3m ($4.3m - $8.4m),$7.3m,926.0,75.49,2158,200000 - 500000
359810,Hare In The Hat,RunServer,Puzzle,$17.6k ($7.6k - $27.7k),$324.6k,870.0,61.36,220,50000 - 100000
585450,Shadows: Awakening,Kalypso Media,Puzzle,$1.6m ($986.3k - $2.2m),$91.9m,902.0,75.74,1492,100000 - 200000
532110,Rusty Lake: Roots,Rusty Lake,Puzzle,$510.3k ($316.7k - $703.9k),$9.3m,868.0,97.05,7463,200000 - 500000
1444480,Turing Complete,LevelHead,Puzzle,$3.1m ($1.8m - $4.4m),$3.1m,769.0,96.08,4593,200000 - 500000
1262350,SIGNALIS,Humble Games,Puzzle,$9.1m ($6m - $12.2m),$202.5m,862.0,96.66,26479,1000000 - 2000000
1511780,Last Call BBS,Zachtronics,Puzzle,$878.5k ($506.5k - $1.2m),$14.4m,758.0,94.94,1146,50000 - 100000
1522160,Disney Epic Mickey: Rebrushed,THQ Nordic,Puzzle,$2.3m ($1.5m - $3.2m),$387.4m,726.0,93.11,1031,50000 - 100000
1141580,Taiji,Matthew VanDevander,Puzzle,$523.7k ($368.4k - $679.1k),$524k,733.0,93.28,1057,50000 - 100000
1145960,The White Door,Second Maze,Puzzle,$921.1k ($538.6k - $1.3m),$1m,717.0,93.84,6035,200000 - 500000
322970,Subject 13,Microids,Puzzle,$166.4k ($33.2k - $299.6k),$27.1m,674.0,55.0,140,50000 - 100000
762830,Telling Lies,Annapurna Interactive,Puzzle,$728.1k ($522.7k - $933.4k),$188.4m,677.0,63.04,1196,200000 - 500000
290280,Volt,Quantized Bit,Puzzle,$12.6k ($5.1k - $20.2k),$47.1k,580.0,70.53,319,100000 - 200000
452570,Battle Chef Brigade Deluxe,Trinket Studios,Puzzle,$948.1k ($598.2k - $1.2m),$1m,524.0,95.44,1536,100000 - 200000
913550,I wanna be the Creator,HeyBox Games,Puzzle,$684.7k ($420.3k - $949k),$683.7k,503.0,95.17,2775,200000 - 500000
850320,PHOGS!,Coatsink,Puzzle,$1.4m ($697.5k - $2.2m),$6.9m,483.0,78.64,1016,20000 - 50000
435030,Lost Lands: Mahjong,FIVE-BN GAMES,Puzzle,$52.8k ($29.5k - $76.1k),$714.2k,443.0,95.77,71,200000 - 500000
1608230,Planet of Lana,Thunderful Publishing,Puzzle,$1.5m ($1m - $2m),$28.3m,443.0,93.17,6541,200000 - 500000
1138850,Heavenly Bodies,2pt Interactive,Puzzle,$3.3m ($1.7m - $4.9m),$3.3m,442.0,96.07,3385,200000 - 500000
878750,Hentai Girl,GirlGames,Puzzle,$207.2k ($60.1k - $354.3k),$1.1m,426.0,92.92,11323,200000 - 500000
2264140,How 2 Escape,Maximum Entertainment,Puzzle,$518.5k ($326.8k - $710.2k),$32.3m,423.0,72.77,628,100000 - 200000
848350,Katamari Damacy REROLL,BANDAI NAMCO Entertainment,Puzzle,$6.3m ($3.9m - $8.8m),$478.1m,419.0,93.27,4667,200000 - 500000
2232600,Anomaly Exit,ExamlGuy,Puzzle,$303.5k ($193.6k - $413.4k),$303.4k,380.0,89.68,901,20000 - 50000
730820,The Curse of Monkey Island,LucasArts,Puzzle,$611.8k ($358.8k - $864.7k),$124.9m,374.0,97.0,2630,100000 - 200000
956030,Creaks,Amanita Design,Puzzle,$1.3m ($829.1k - $1.8m),$11.1m,361.0,95.06,4692,200000 - 500000
250460,Bridge Constructor,Headup,Puzzle,$230k ($107.5k - $352.4k),$14m,357.0,77.9,914,200000 - 500000
643270,OLDTV,Creability,Puzzle,0,$0 ,353.0,100.0,5,500000 - 1000000
1924360,Lil' Guardsman,Versus Evil,Puzzle,$647.5k ($428.3k - $866.6k),$33.5m,352.0,94.38,979,20000 - 50000
959520,Fantasy Blacksmith,GrabTheGames,Puzzle,$114k ($62.1k - $165.9k),$13.7m,351.0,64.35,993,100000 - 200000
2599370,DeathWatchers,Swain Games,Puzzle,$70.6k ($46.6k - $94.6k),$70.6k,347.0,84.97,286,20000 - 50000
