appid,name,publisher_main,SampledGenre,game_revenue,publisher_revenue
459760,Exotic Matter,MobiusCode,Metroidvania,$6.6k ($3.3k - $9.9k),$7.7k
1678430,PowerSlave Exhumed,Nightdive Studios,Metroidvania,$284.8k ($181.9k - $387.7k),$20.5m
3548000,Cosmobreeder Yiffai,KEMOSHOCO,Metroidvania,$46.4k ($28.8k - $64k),$45.5k
933450,Wenjia,WhiteLakeStudio,Metroidvania,$65k ($32.6k - $97.4k),$96.7k
3222340,Macho Shot,SAT-BOX,Platformer,$343 ($132 - $554),$160k
1316910,Super Monkey Ball Banana Mania,SEGA,Platformer,$1m ($646.8k - $1.4m),$1.6b
1367300,Blade Assault,NEOWIZ,Platformer,$696.1k ($485.6k - $906.6k),$123.9m
260190,Marc Eckō's Getting Up: Contents Under Pressure,Devolver Digital,Platformer,$352.6k ($221.1k - $484k),$501.4m
887060,Asterix & Obelix XXL 2,Microids,Platformer,$705.8k ($352.6k - $1m),$27.1m
2215290,我在终点线等你,DreaMory,Platformer,$7.1k ($3.3k - $10.9k),$7.1k
2394650,Crypt Custodian,Kyle Thompson,Platformer,$639.7k ($435k - $844.3k),$680.4k
3009480,IZON.,"CREEK & RIVER Co., Ltd.",Platformer,$10.3k ($6.4k - $14.2k),$10.3k
1225580,Fe,Electronic Arts,Platformer,$154.1k ($85k - $223.1k),$4.5b
1417930,Lorn's Lure,Rubeki Games,Platformer,$750.3k ($473.7k - $1m),$756.4k
2243250,Moonlight Pulse,Seafloor Games LLC,Platformer,$18.3k ($8.7k - $27.9k),$42.3k
1482700,Speed Stars,Luke Doukakis,Platformer,$25.7k ($18.7k - $32.7k),$25.7k
204300,Awesomenauts,Atari,Platformer,$4.9m ($2.4m - $7.4m),$37.7m
2288070,The Ninja Saviors: Return of the Warriors,TAITO CORP.,Platformer,$118.9k ($81.3k - $156.5k),$2.5m
2398590,Azure Orphanage,OTAKU Plan,Platformer,$38.3k ($26.1k - $50.6k),$8.4m
652810,Grabity,Team Ninja Thumbs,Platformer,0,$0 
3446990,FUBUKI ～zero in on Holoearth～ HOLOLIVE ALTERNATIVE,Phoenixx Inc.,Platformer,$67.2k ($39.9k - $94.5k),$2m
589500,Shovel Knight: Shovel of Hope,Yacht Club Games,Platformer,$286.4k ($185.1k - $387.7k),$12.9m
1191630,Shantae and the Seven Sirens,WayForward,Platformer,$1.5m ($1m - $2m),$11.9m
327890,I Am Bread,tinyBuild,Platformer,$4m ($2.7m - $5.3m),$178.8m
1579020,Golfie,Yogscast Games,Platformer,$578.9k ($269.1k - $888.6k),$37.9m
1040430,Adventure Climb VR,MXTreality,Platformer,$294 ($126 - $463),$295 
1709700,How to Say Goodbye,ARTE France,Platformer,$19k ($11.4k - $26.7k),$583.4k
268750,Magicite,SmashGames,Platformer,$3.6m ($2.2m - $5m),$12.4m
814370,Monster Sanctuary,Team17,Platformer,$5.7m ($3.7m - $7.6m),$491.6m
943370,Bravery and Greed,Team17,Platformer,$934k ($468.6k - $1.3m),$491.6m
324070,iO,Gamious,Platformer,$62.1k ($19.3k - $104.9k),$4.4m
1282210,DEEMO -Reborn-,Rayark International Limited,Platformer,$1.5m ($1m - $2m),$2.5m
2703850,Rooftops & Alleys: The Parkour Game,MLMEDIA,Platformer,$2.6m ($1.9m - $3.3m),$2.6m
317470,Cubic Castles,Cosmic Cow LLC,Platformer,0,$0 
412730,Days Under Custody,Groupees Interactive,Platformer,$9.7k ($1.9k - $17.5k),$12.7k
846470,Moss,Polyarc,Platformer,$3.1m ($2.1m - $4.1m),$3.7m
2273550,Postmouse,The Animation Workshop,Platformer,0,$0 
1796220,Laika: Aged Through Blood,Thunderful Publishing,Platformer,$1.2m ($826.9k - $1.6m),$28.3m
1947950,Boxing Gym Story,"Kairosoft Co., Ltd",Platformer,$33k ($21.2k - $44.8k),$5.6m
2274110,The Elephant Collection,Armor Games Studios,Platformer,$333.9k ($229.5k - $438.2k),$20.7m
1114940,I Wanna Maker,The Elephant Crew,Platformer,0,$0 
2803280,Dragon Is Dead,"PM Studios, inc.",Platformer,$324.2k ($230k - $418.4k),$6m
2114740,Blasphemous 2,Team17,Platformer,$8.7m ($6.5m - $11m),$491.6m
359310,Evoland 2,Shiro Games,Platformer,$2m ($1.2m - $2.7m),$90.7m
1747650,The Darkest Tales — Into the Nightmare,101XP,Platformer,0,$3.9m
2190290,To Be or Not to Be,DSGame,Platformer,$6.8m ($4.1m - $9.4m),$15.4m
3253530,PIT OF GOBLIN,Friendly Foe,Platformer,$70.9k ($41.6k - $100.2k),$70.9k
1923680,Mega Mall Story,"Kairosoft Co., Ltd",Platformer,$105.1k ($54k - $156.2k),$5.6m
1097150,Fall Guys: Ultimate Knockout,,Platformer,0,ERROR
557790,Goblet of Maya,CubeInSquare,Platformer,$2.7k ($546 - $4.9k),$2.7k
213610,Sonic Adventure 2,SEGA,Platformer,$6.8m ($4.9m - $8.7m),$1.6b
13600,Prince of Persia: The Sands of Time,Ubisoft,Platformer,$1.6m ($1m - $2.2m),$2.4b
447800,LostWinds 2: Winter of the Melodias,Frontier Developments,Platformer,$28.5k ($15.7k - $41.3k),$430.2m
973810,Journey To The Savage Planet,505 Games,Platformer,$4.6m ($2.9m - $6.3m),$293.6m
360830,Yooka-Laylee,Playtonic Friends,Platformer,$5.6m ($3.7m - $7.5m),$8.6m
70300,VVVVVV,Terry Cavanagh,Platformer,$716.4k ($375.3k - $1m),$9.1m
1859860,Party Bots,Party Bot Studios,Platformer,$14.7k ($7.5k - $21.9k),$14.7k
3214870,Snow Bros. Wonderland,Clear River Games,Platformer,$7.6k ($4.8k - $10.3k),$235.2k
1496590,Tchia,Kepler Interactive,Platformer,$393.2k ($255.8k - $530.7k),$249.7m
1186640,Pumpkin Jack,Headup,Platformer,$2.6m ($1.7m - $3.4m),$14m
339610,Freestyle 2: Street Basketball,JOYCITY,Platformer,$27.5m ($18.7m - $36.4m),$27.7m
2073910,A Webbing Journey,Future Friends Games,Platformer,$133k ($91.7k - $174.2k),$16.9m
746580,HARDCORE MECHA,RocketPunch Games,Platformer,$927.5k ($596.3k - $1.2m),$1.2m
465200,Fury Unleashed,Awesome Games Studio,Platformer,$451.2k ($256.5k - $646k),$4.7m
1224020,Creepy Tale,Creepy Brothers,Platformer,$271.5k ($150.3k - $392.7k),$744.2k
3175860,Driving Is Hard,Elegant Horse Studios,Platformer,$93k ($59k - $127k),$92.5k
366260,METAL SLUG 2,SNK CORPORATION,Platformer,$199.8k ($116.1k - $283.6k),$35.7m
411960,TY the Tasmanian Tiger,Krome Studios,Platformer,$1.2m ($828k - $1.5m),$2m
578590,City Siege: Faction Island,Conglomerate 5,Platformer,$2.6k ($1k - $4.1k),$2.5m
640890,Will Glow the Wisp,PartTimeIndie,Platformer,$3.4k ($1.7k - $5.2k),$8.8k
1679210,The Spirit and the Mouse,Armor Games Studios,Platformer,$208.8k ($155.5k - $262.2k),$20.7m
251830,Stick it to The Man!,Ripstone,Platformer,$229.9k ($164.8k - $295k),$3m
237630,DuckTales: Remastered,Capcom,Platformer,$2.6m ($1.9m - $3.4m),$248m
1195290,Moncage,XD,Platformer,$2.6m ($1.7m - $3.6m),$84.4m
383980,Rivals of Aether,Aether Studios,Platformer,$12.5m ($9.3m - $15.7m),$18.8m
2604580,THE JUSOU 3,株式会社Metaware,Platformer,$12.6k ($5.7k - $19.6k),$38k
2019370,Oh! Edo Towns,"Kairosoft Co., Ltd",Platformer,$32k ($8.7k - $55.3k),$5.6m
2551920,Tools Up! Ultimate Edition,Untold Tales,Platformer,$159.4k ($90.1k - $228.7k),$12.2m
1776970,月に寄りそう乙女の作法,HIKARI FIELD,Platformer,$997.9k ($575.5k - $1.4m),$46.9m
397950,Clustertruck,tinyBuild,Platformer,$6.9m ($4.7m - $9.1m),$178.8m
1092630,Rogue Glitch Ultra,Rarebyte,Platformer,$60.7k ($28.3k - $93.1k),$855.4k
2459870,Drop Doll,No.25,Platformer,$8.5k ($6.3k - $10.7k),$215.4k
1382070,Viewfinder,Thunderful Publishing,Platformer,$5.5m ($3.9m - $7m),$28.3m
219890,Antichamber,Demruth,Platformer,$8m ($4.1m - $12m),$8m
562430,Alien Hostage,Conglomerate 5,Platformer,$11.2k ($5.1k - $17.4k),$2.5m
502400,Redactem,Conglomerate 5,Platformer,$9.6k ($5.4k - $13.9k),$2.5m
3204020,Juufuutei Raden's Guide for Pixel Museum,Jupiter Corporation,Platformer,$196k ($127.3k - $264.7k),$315.9k
233610,Distance,Refract,Platformer,$4.4m ($2.9m - $5.9m),$4.4m
1502790,Gun Witch,Kiyummi Games,Platformer,0,$0 
1923690,Pocket League Story,"Kairosoft Co., Ltd",Platformer,$54.5k ($28.2k - $80.8k),$5.6m
1158890,White Shadows,Thunderful Publishing,Platformer,$369.6k ($192.8k - $546.5k),$28.3m
1545290,Sword and Fairy 5 prequel,SOFTSTAR ENTERTAINMENT,Platformer,$50.7k ($26.7k - $74.8k),$29.9m
224820,Super House of Dead Ninjas,Bitmap Bureau,Platformer,$551.8k ($309.2k - $794.4k),$621.4k
889910,Hell Pie,Headup,Platformer,$364.6k ($254.8k - $474.3k),$14m
435790,10 Second Ninja X,Curve Games,Platformer,$67.1k ($36.5k - $97.8k),$196.4m
1307690,The Darkest Tales,101XP,Platformer,$136.9k ($70.8k - $202.9k),$3.9m
946030,Axiom Verge 2,Thomas Happ Games LLC,Platformer,$391.2k ($283.8k - $498.5k),$3.6m
660290,Dungeons & Geese,the Bratans,Platformer,$4k ($895 - $7.1k),$13.6k
1311070,Greak: Memories of Azur,Team17,Platformer,$382.3k ($272k - $492.6k),$491.6m
1127970,Retro Machina,SuperGG.com,Platformer,$51.1k ($35.6k - $66.6k),$3.1m
1730680,Klonoa Phantasy Reverie Series,Bandai Namco Entertainment,Platformer,$1.5m ($841k - $2.2m),$1.7b
206190,Gunpoint,Suspicious Developments,Platformer,$4.5m ($2.9m - $6.1m),$12.4m
633440,Unit 4,Gamera Interactive,Platformer,$5.2k ($2.6k - $7.9k),$836.5k
312990,The Expendabros,Devolver Digital,Platformer,0,$501.4m
1725640,Sudocats,Devcats,Puzzle,$37.4k ($20.6k - $54.2k),$1.3m
301830,Disney•Pixar Brave: The Video Game,Disney,Puzzle,$119.1k ($62k - $176.2k),$129.5m
259810,Home Sheep Home: Farmageddon Party Edition,Greenlight Games,Puzzle,$211.3k ($126.1k - $296.4k),$212.5k
31270,Puzzle Agent,Telltale,Puzzle,$185.9k ($102.1k - $269.6k),$25.7m
1299510,Vampire: The Masquerade – Swansong,Nacon,Puzzle,$373k ($250.3k - $495.7k),$157.6m
250380,Knock-knock,Ice-Pick Lodge,Puzzle,$407.6k ($220.4k - $594.7k),$1m
2644470,PICO PARK 2,TECOPARK,Puzzle,$3.8m ($2.1m - $5.4m),$17.3m
1602540,Sophia the Traveler,Thermite Games,Puzzle,$79.1k ($54.6k - $103.5k),$5.1m
1818280,KallaX,Unexpected,Puzzle,$251.8k ($156.4k - $347.3k),$2.7m
1424980,The Solitaire Conspiracy,Bithell Games,Puzzle,$180.3k ($104.6k - $255.9k),$2.9m
3417690,Mewseum: Masterpieces,New Dawn Game Studio,Puzzle,$11k ($4.8k - $17.2k),$17.2k
1275670,Outcore: Desktop Adventure,Doctor Shinobi,Puzzle,$3k ($892 - $5.1k),$3k
522990,Spell Casting: Meowgically Enhanced Edition,Gordon Little,Puzzle,0,$52k
753660,AtmaSphere,GrabTheGames,Puzzle,$17.4k ($8.7k - $26.1k),$13.7m
880510,Girl and Goblin,Inverse Game,Puzzle,$106.6k ($53.3k - $159.9k),$335.8k
3044100,Bat to the Heavens,ceroro,Puzzle,$61.4k ($38k - $84.8k),$60.9k
1730700,We Love Katamari REROLL+ Royal Reverie,Bandai Namco Entertainment,Puzzle,$2.5m ($1.5m - $3.5m),$1.7b
3300,Bejeweled 2 Deluxe,"PopCap Games, Inc.",Puzzle,$242.5k ($102.4k - $382.5k),$29m
429720,IMSCARED,Ivan Zanotti's MyMadnessWorks,Puzzle,$141.8k ($81.7k - $202k),$166.2k
375320,Colortone,Valkyrie Initiative,Puzzle,$17.7k ($7.2k - $28.1k),$2.8m
533300,Zup!,Quiet River,Puzzle,$258k ($161.5k - $354.5k),$2.4m
249130,LEGO Marvel Super Heroes,Warner Bros. Interactive Entertainment,Puzzle,$13.2m ($7.4m - $19m),$446.3m
1850160,Poly Bridge 3,Dry Cactus,Puzzle,$3m ($1.7m - $4.2m),$12.7m
1931770,Chants of Sennaar,Focus Entertainment,Puzzle,$6.8m ($4.8m - $8.8m),$728.4m
22500,Spectromancer,Three Donkeys LLC,Puzzle,$214.1k ($119.4k - $308.8k),$214.2k
1665130,PAC-MAN MUSEUM+,Bandai Namco Entertainment,Puzzle,$169.3k ($96.7k - $241.8k),$1.7b
581980,Candy Machine,Colossal Wreck,Puzzle,$7.7k ($3.1k - $12.2k),$7.7k
550450,Sparkle Unleashed,10tons Ltd,Puzzle,$21.8k ($6.6k - $37.1k),$8.3m
2421410,Cyber Manhunt 2: New World - The Hacking Simulator,Spiral Up Games,Puzzle,$1.1m ($856.6k - $1.4m),$32.8m
1883370,PEPPERED: an existential platformer,Mostly Games,Puzzle,$87.5k ($55.2k - $119.9k),$87.2k
1218170,回门 Way Back Home,漫森游戏工作室,Puzzle,$61.2k ($35.7k - $86.7k),$61.2k
3151380,Small Spaces,Pretty Soon,Puzzle,$296.2k ($199.4k - $392.9k),$10.1m
359870,FINAL FANTASY X/X-2 HD Remaster,Square Enix,Puzzle,$23.3m ($16m - $30.6m),$1b
1316390,Thermo Sudoku,Studio Goya,Puzzle,$20k ($10.4k - $29.5k),$287.2k
1946300,Masks Of Deception,Reflect Studios,Puzzle,$1.2k ($310 - $2.1k),$2.5m
329380,Stealth Inc 2: A Game of Clones,Curve Games,Puzzle,$247.3k ($109.1k - $385.4k),$196.4m
1377260,Miracle Sudoku,Studio Goya,Puzzle,$23.3k ($12.1k - $34.5k),$287.2k
1799220,Malice,Nimbus Games,Puzzle,$70.7k ($44.2k - $97.3k),$87.5k
1750710,Boxville,Triomatica Games,Puzzle,$33.4k ($11.6k - $55.3k),$49.2k
3191030,Nubby's Number Factory,MogDogBlog Productions,Puzzle,$2.2m ($1.5m - $2.9m),$2.1m
2356500,Cats Hidden in Bali,Travellin Cats,Puzzle,$55.7k ($35.6k - $75.8k),$499.2k
438640,LEGO STAR WARS: The Force Awakens,Warner Bros. Interactive Entertainment,Puzzle,$2.6m ($1.6m - $3.6m),$446.3m
1627570,The Plucky Squire,Devolver Digital,Puzzle,$2.7m ($1.7m - $3.7m),$501.4m
1333920,"A Place, Forbidden",Poison The Inkwell,Puzzle,0,$8k
308060,Black The Fall,Square Enix,Puzzle,$690.8k ($342.9k - $1m),$1b
589780,The Red Strings Club,Devolver Digital,Puzzle,$2.1m ($1.4m - $2.7m),$501.4m
284770,Enigmatis 2: The Mists of Ravenwood,Artifex Mundi,Puzzle,$135.9k ($85.6k - $186.1k),$8.4m
2265920,Castle of Blackwater,Castle of Blackwater,Puzzle,$2.7k ($1.6k - $3.8k),$2.7k
359510,Tangle Tower,SFB Games,Puzzle,$791.4k ($540.9k - $1m),$3.1m
1283140,Burn Me Twice,Null Reference Studio,Puzzle,0,$0 
2831060,Moving Houses,Gordon Little,Puzzle,$48.6k ($29.2k - $68k),$52k
705120,Death Coming/死神来了,NEXT Studios,Puzzle,$1.2m ($779.8k - $1.7m),$18.9m
2655010,Jewel Match Solitaire Winterscapes 2 - Collector's Edition,Grey Alien Games,Puzzle,$12.1k ($5.4k - $18.9k),$984.3k
1071130,The Procession to Calvary,Akupara Games,Puzzle,$241.8k ($168.6k - $315k),$33.7m
2919660,JudgeSim,DelusionArt Studio,Puzzle,$504.3k ($315.8k - $692.8k),$504.4k
1977170,Jusant,DON'T NOD,Puzzle,$3.2m ($2.1m - $4.3m),$6.6m
755150,Aurora Trail,Screenhit Studios,Puzzle,0,$0 
1709700,How to Say Goodbye,ARTE France,Puzzle,$19k ($11.4k - $26.7k),$583.4k
931090,Slither Link,Vector Game,Puzzle,$1.3k ($1k - $1.6k),$1.8k
1162070,Nyakori's Rabbit Doll,赤瞳大白猫,Puzzle,$58.6k ($35k - $82.2k),$210.1k
2246470,Kulebra and the Souls of Limbo,Fellow Traveller,Puzzle,$24.5k ($15k - $34k),$16.8m
1042490,Call of the Sea,Raw Fury,Puzzle,$1.6m ($1m - $2.2m),$99.5m
2272400,Station to Station,Prismatika,Puzzle,$1.8m ($1m - $2.6m),$2.1m
1556870,Golf Club Nostalgia,Untold Tales,Puzzle,$191.9k ($127.6k - $256.1k),$12.2m
1592190,BONELAB,Stress Level Zero,Puzzle,$15m ($9.8m - $20.2m),$49.4m
1150640,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,KONAMI,Puzzle,$6.2m ($4.1m - $8.3m),$639.8m
1425350,Botany Manor,Whitethorn Games,Puzzle,$455.6k ($334.4k - $576.8k),$5.7m
1709880,Loco Motive,Chucklefish,Puzzle,$369.3k ($269.5k - $469k),$84m
31170,Tales of Monkey Island: Complete Season,Telltale,Puzzle,$602.9k ($169.6k - $1m),$25.7m
320670,Season Match 3 - Curse of the Witch Crow,ESDigital Games,Puzzle,$11.5k ($5.2k - $17.8k),$4.1m
2147950,4D Golf,CodeParade,Puzzle,$350.5k ($235.4k - $465.7k),$742.3k
1644500,Masterplan Tycoon,Ravenage Games,Puzzle,$351.4k ($233.2k - $469.6k),$6.6m
953490,CARRION,Devolver Digital,Puzzle,$11.1m ($8.2m - $14m),$501.4m
1624540,Storyteller,Annapurna Interactive,Puzzle,$6m ($3.9m - $8.2m),$188.4m
2176320,Magical Drop VI,Forever Entertainment S. A.,Puzzle,$48k ($31.5k - $64.4k),$4.5m
996770,Moving Out,Team17,Puzzle,$3.3m ($1.8m - $4.8m),$491.6m
787980,4D Minesweeper,Julian Schlüntz,Puzzle,0,$0 
271900,Hexcells Plus,Matthew Brown,Puzzle,$50.8k ($30.7k - $70.8k),$867.1k
1174500,Yuletide Legends: Who Framed Santa Claus,Artifex Mundi,Puzzle,$19.4k ($10.6k - $28.2k),$8.4m
572740,Nancy Drew: The Secret of Shadow Ranch,HeR Interactive,Puzzle,$156.3k ($72.2k - $240.5k),$3.1m
2718560,Maze!,Bini Games,Puzzle,$69 ($37 - $101),$69 
2086820,Heroes of Hellas Origins: Part Two,Alawar Casual,Puzzle,$3.8k ($1.5k - $6k),$1.1m
834390,King's Heir: Rise to the Throne,Artifex Mundi,Puzzle,$100.5k ($22.6k - $178.4k),$8.4m
1205450,Turnip Boy Commits Tax Evasion,Graffiti Games,Puzzle,$2.3m ($1.5m - $3m),$5.1m
200010,Quantum Conundrum,Square Enix,Puzzle,$675.6k ($443.5k - $907.8k),$1b
31190,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,,Puzzle,0,ERROR
655480,Solar Settlers,BrainGoodGames,Puzzle,$79.4k ($54.9k - $103.8k),$170.7k
337490,Four Sided Fantasy,Serenity Forge,Puzzle,$21k ($7.2k - $34.8k),$41.5m
1335790,Operation: Tango,Team17,Puzzle,$10.3m ($6.2m - $14.5m),$491.6m
387290,Ori and the Blind Forest: Definitive Edition,Xbox Game Studios,Puzzle,$25.2m ($15.1m - $35.2m),$1.8b
407780,Lethe - Episode One,Faber Interactive,Puzzle,$118.6k ($71.4k - $165.8k),$118.6k
3360,Big Money! Deluxe,"PopCap Games, Inc.",Puzzle,$62.4k ($25.2k - $99.7k),$29m
711660,CHUCHEL,Amanita Design,Puzzle,$718.9k ($504.1k - $933.8k),$11.1m
1216710,Cyber Manhunt,Aluba Van+,Puzzle,$3m ($1.9m - $4m),$3m
835960,The Talos Principle 2,Devolver Digital,Puzzle,$4.9m ($3.5m - $6.3m),$501.4m
1930640,Lost2,DSGame,Puzzle,$957.1k ($665.5k - $1.2m),$15.4m
3636440,Click To Continue,Basolute,Puzzle,$91.4k ($56.4k - $126.4k),$89.6k
1996420,I commissioned some bees,I commissioned some series,Puzzle,$4.7k ($941 - $8.4k),$130.4k
1601410,FARAWAY TRAIN,AMATA Games,Puzzle,$12.8k ($6.4k - $19.3k),$267.1k
893050,Hasbro's BATTLESHIP,Marmalade Game Studio Ltd,Puzzle,$480.9k ($230.8k - $731.1k),$8m
792120,FIGHT KNIGHT,Team Sorcerobe,RPG,$363.7k ($227.7k - $499.7k),$363.7k
2322560,Love Is All Around,intiny,RPG,$18.4m ($11.6m - $25.2m),$19.6m
65800,Dungeon Defenders,Chromatic Games,RPG,$16.2m ($8.6m - $23.9m),$43.2m
1866430,Rhapsody: A Musical Adventure,"NIS America, Inc.",RPG,$139.8k ($78.8k - $200.7k),$48m
2521600,Little-Known Galaxy,Carbon & Kay,RPG,$401.9k ($254.5k - $549.3k),$402k
433280,Warlords Battlecry III,Retroism,RPG,$239.3k ($136.6k - $342k),$441.2k
1127970,Retro Machina,SuperGG.com,RPG,$51.1k ($35.6k - $66.6k),$3.1m
1868180,Etrian Odyssey HD,SEGA,RPG,$2.5m ($1.5m - $3.6m),$1.6b
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,META Publishing,RPG,$34.3m ($23m - $45.7m),$45.7m
1341170,Strategic Mind: Spectre of Communism,Starni Games,RPG,$154.4k ($115.8k - $193.1k),$1.3m
1181830,Urtuk: The Desolation,David Kaleta,RPG,$1m ($746.5k - $1.4m),$1m
1256670,Library Of Ruina,ProjectMoon,RPG,$13m ($9.5m - $16.4m),$108.8m
2265920,Castle of Blackwater,Castle of Blackwater,RPG,$2.7k ($1.6k - $3.8k),$2.7k
1990400,Tales of Agaris,Metthink Universe,RPG,0,$3.1k
1231990,Gestalt: Steam & Cinder,Fireshine Games,RPG,$421.8k ($268.8k - $574.7k),$67m
330830,Tales from the Borderlands,2K,RPG,$13.6m ($10m - $17.3m),$1.7b
2616460,Dungeon Keeper 2,Electronic Arts,RPG,$134.9k ($80.9k - $188.9k),$4.5b
1121420,Kingdom Under Fire: The Crusaders,Blueside,RPG,$553.5k ($355.4k - $751.6k),$780.9k
927380,Yakuza Kiwami 2,SEGA,RPG,$10.3m ($6.6m - $14.1m),$1.6b
461370,Midnight's Blessing 2,Warfare Studios,RPG,$505 ($253 - $758),$65.7k
1674920,Sovereign Syndicate,Zugalu Entertainment,RPG,$229.4k ($151.5k - $307.2k),$253.4k
780290,Gloomhaven,Twin Sails Interactive,RPG,$14.2m ($9.3m - $19.2m),$35.3m
1007350,Mirror Maker,Paradise Project,RPG,$65.8k ($35.6k - $96k),$3m
1238020,Mass Effect 3 N7 Digital Deluxe Edition (2012),Electronic Arts,RPG,$1.7m ($1m - $2.5m),$4.5b
1283400,Steelrising,Nacon,RPG,$2.6m ($1.7m - $3.5m),$157.6m
372800,RPG MO,Marxnet,RPG,$516.9k ($391k - $642.8k),$517.2k
321800,Icewind Dale: Enhanced Edition,Beamdog,RPG,$2.8m ($1.8m - $3.8m),$39.1m
2552430,KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,Square Enix,RPG,$15.6m ($10.3m - $20.9m),$1b
390100,9Dragons,RedFox Games,RPG,$489k ($291.4k - $686.7k),$815.4k
1613770,Cave Quest 2,MD Studio,RPG,$13.4k ($5.6k - $21.2k),$23.2k
312750,Final Fantasy IV (3D Remake),Square Enix,RPG,$2.1m ($1.4m - $2.8m),$1b
2357400,Mary Skelter Finale,Idea Factory International,RPG,$82.8k ($54.2k - $111.3k),$37.9m
560130,Pillars of Eternity II: Deadfire,Versus Evil,RPG,$23.6m ($16.1m - $31m),$33.5m
433320,Marvel: Ultimate Alliance 2,,RPG,0,ERROR
1058770,我来自江湖 From Jianghu,INDIECN,RPG,$593.9k ($334.4k - $853.3k),$7m
2411980,AMEDAMA,IzanagiGames,RPG,$39.2k ($24.8k - $53.7k),$399.5k
335190,200% Mixed Juice!,Fruitbat Factory,RPG,$80.8k ($59.4k - $102.2k),$3.3m
465490,Stellar Tactics,Maverick Games,RPG,$680.6k ($439.9k - $921.4k),$679.4k
1718130,SCP: Secret Files,Pixmain,RPG,$924.4k ($492.2k - $1.3m),$2m
569970,Chosen 2,Senpai Industrial Studios,RPG,$10.8k ($5.8k - $15.9k),$1m
286160,Tabletop Simulator,Berserk Games,RPG,$86.8m ($54.8m - $118.8m),$86.8m
2450450,MEGATON MUSASHI W: WIRED,LEVEL5 Inc.,RPG,$968.7k ($735.9k - $1.2m),$37.7m
2284240,The Grindstone,Wolfs Moon Studios,RPG,$8.3k ($3.5k - $13.1k),$94.6k
1584090,Touhou Mystia's Izakaya,二色幽紫蝶,RPG,$3.6m ($2.2m - $5.1m),$4.2m
7670,BioShock,2K,RPG,$14.5m ($6m - $22.9m),$1.7b
1076610,Guardian of the future,Lotos Project,RPG,$6.1k ($3k - $9.2k),$16.8k
1232420,Atlantica Global,VALOFE,RPG,$1.1m ($585.2k - $1.6m),$27.3m
1361680,cyberpunkdreams,Late Night Games,RPG,$59.8k ($11.9k - $107.7k),$59.8k
1731260,Sketch Crawler,Koan,RPG,$30.5k ($6.1k - $55k),$30.6k
551730,Toukiden 2,"KOEI TECMO GAMES CO., LTD.",RPG,$3.1m ($2.2m - $4m),$424.5m
366910,The Long Journey Home,Daedalic Entertainment,RPG,$1.2m ($794.2k - $1.7m),$159.9m
1599330,Wildmender,Kwalee,RPG,$2.5m ($1.6m - $3.3m),$21.8m
2399830,ARK: Survival Ascended,Studio Wildcard,RPG,$81.7m ($53.4m - $110.1m),$538.1m
270850,Car Mechanic Simulator 2014,PlayWay S.A.,RPG,$2.5m ($880.9k - $4.2m),$275.8m
1443200,Class of '09,SBN3,RPG,$2.2m ($1.1m - $3.3m),$4.2m
1370410,Progress Game,Grinning Games,RPG,0,$0 
1374490,RuneScape: Dragonwilds,Jagex Ltd,RPG,$26.5m ($19m - $34m),$104.9m
646200,Dead Effect 2 VR,App Holdings,RPG,$1m ($729.7k - $1.4m),$1.7m
1288310,Firework,Gamirror Games,RPG,$4.7m ($3.2m - $6.2m),$118.8m
1170080,Foretales,Dear Villagers,RPG,$415k ($264.9k - $565.1k),$33.7m
1511650,Andromeda: Rebirth of Humanity,Null Reference Games,RPG,$2.6k ($589 - $4.6k),$3.3k
3561770,イル・ドー,あとらそふと,RPG,$85.9k ($50.5k - $121.4k),$85.9k
1105670,The Last Spell,Nacon,RPG,$7.7m ($5.6m - $9.8m),$157.6m
3969310,探岛海龟汤,探岛工作室,RPG,$20.4k ($11.6k - $29.1k),$19.3k
2945100,Idle Taoist Mage Warrior 2,okyakusama,RPG,$4.5k ($1.9k - $7.1k),$73.8k
1646850,SpaceBourne 2,Burak Dabak,RPG,$2.7m ($1.8m - $3.5m),$3m
1410330,Love Shore,Perfect Garbage,RPG,$26.9k ($13k - $40.8k),$26.9k
2731870,Ys X: Nordics,"NIS America, Inc.",RPG,$1.2m ($805.9k - $1.6m),$48m
249050,Dungeon of the ENDLESS,AMPLITUDE Studios,RPG,$4.7m ($2.4m - $7.1m),$86.3m
1989270,Slay the Princess — The Pristine Cut,Black Tabby Games,RPG,$8.8m ($6.4m - $11.1m),$10.3m
1188260,Creature Card Idle,Playsaurus,RPG,0,$18m
1067350,Sophie's Dice,Sophie Houlden,RPG,$7.4k ($4.7k - $10k),$13.4k
3245330,The Final Exam,Change The Ref,RPG,0,$0 
346940,Shadowrun: Hong Kong - Extended Edition,Paradox Interactive,RPG,$2.6m ($1.7m - $3.5m),$1.1b
946050,Soda Dungeon 2,Armor Games Studios,RPG,$49.6k ($30.8k - $68.5k),$20.7m
582660,Black Desert,Pearl Abyss,RPG,$13.1m ($7.7m - $18.5m),$13.1m
1177400,江湖余生：缘起,INDIECN,RPG,$61.6k ($33.6k - $89.6k),$7m
