appid,name,publisher_main,SampledGenre,game_revenue,publisher_revenue
1054430,Fling to the Finish,Daedalic Entertainment,Action,$876.1k ($485.2k - $1.2m),$159.9m
2591010,Silent Depth 2: Pacific,MicroProse Software,Action,$59.8k ($39k - $80.7k),$43.6m
576480,Drunken Fight Simulator,Volens Nolens Games,Action,$8.3k ($1.6k - $15k),$658.4k
1830970,The Last Flame,Hotloop,Adventure,$2m ($1.4m - $2.6m),$2m
1577250,The Chant,Prime Matter,Adventure,$441.8k ($253.1k - $630.4k),$76.6m
931280,Iron Marines,Ironhide Game Studio,Adventure,$848.9k ($601.8k - $1m),$28.7m
1672670,彷徨之街 The Street of Adrift,LoveStoryProject,Adventure,$191.1k ($108.7k - $273.5k),$856.9k
550400,Delicious - Emily's Hopes and Fears,GameHouse,Adventure,$26k ($12.5k - $39.5k),$1.5m
1088850,Marvel's Guardians of the Galaxy,Eidos Interactive Corp.,Adventure,$26.4m ($18.8m - $34m),$111.3m
314830,Blackguards 2,Daedalic Entertainment,Adventure,$602.8k ($359.8k - $845.9k),$159.9m
1161170,The Rewinder,Gamirror Games,Adventure,$903.9k ($618.1k - $1.1m),$118.8m
212480,Sonic & All-Stars Racing Transformed Collection,SEGA,Adventure,$11.7m ($6.5m - $16.8m),$1.6b
1190000,Car Mechanic Simulator 2021,PlayWay S.A.,Adventure,$29.4m ($17.4m - $41.4m),$275.8m
405710,Staxel,Humble Games,Adventure,$2.9m ($1.9m - $3.8m),$202.5m
1990400,Tales of Agaris,Metthink Universe,Adventure,0,$3.1k
834910,ATLAS,Grapeshot Games,Adventure,$24m ($16.3m - $31.7m),$24m
1379200,Escape from Skull Dungeon,Taichi Games,Adventure,$15.7k ($8.4k - $22.9k),$52.1k
2631880,Don't Be Afraid 2,Eneida Games,Adventure,$54.1k ($32.1k - $76.2k),$203.6k
63610,Riven (1997),Cyan Worlds Inc,Adventure,$212.2k ($125.1k - $299.3k),$8.6m
2442460,Citizen Sleeper 2: Starward Vector,Fellow Traveller,Adventure,$945.6k ($697.4k - $1.1m),$16.8m
611860,Aborigenus,Flying Islands Team,Adventure,$9.2k ($4.6k - $13.9k),$30.6k
1959390,Fear the Spotlight,Blumhouse Games,Adventure,$194.2k ($129.6k - $258.9k),$274.8k
1332010,Stray,Annapurna Interactive,Adventure,$77.8m ($59.3m - $96.2m),$188.4m
1286830,STAR WARS: The Old Republic,Electronic Arts,Adventure,$119.5m ($76.8m - $162.2m),$4.5b
250400,How to Survive,505 Games,Adventure,$4.5m ($3.1m - $6m),$293.6m
423550,Day D: Tower Rush,8Floor,Adventure,$7.3k ($4.4k - $10.3k),$3.8m
1012030,Detective Girl of the Steam City,Kagura Games,Adventure,$756.6k ($492.1k - $1m),$63.4m
3593780,Lumberjacked,Dumb Duck Games,Adventure,$234.5k ($148.9k - $320.1k),$233k
753420,Dungreed,TEAM HORAY,Adventure,$3.9m ($2.8m - $5.1m),$6.3m
365070,One Manga Day,DeXP,Adventure,0,$32.9k
682550,ワールド・ネバーランド２～プルト共和国物語～EXPERIENCE OF FICTION LIFE,althi Inc.,Adventure,$23.5k ($14.8k - $32.1k),$90.7k
272060,Serena,Senscape,Adventure,0,$150.8k
1182900,A Plague Tale: Requiem,Focus Entertainment,Adventure,$12.1m ($8.7m - $15.5m),$728.4m
2825530,Beholder: Conductor,Alawar,Adventure,$901.9k ($655.5k - $1.1m),$13.3m
541200,GTTOD: Get To The Orange Door,Hitcents,Adventure,$896.7k ($592.2k - $1.2m),$1.5m
1315610,Source of Madness,Thunderful Publishing,Adventure,$605.9k ($328.3k - $883.5k),$28.3m
1551520,Kamikaze Kommittee Ouka 2,Kagura Games,Adventure,$104.1k ($59.5k - $148.8k),$63.4m
761620,Beholder 2,Alawar,Adventure,$1.5m ($801.7k - $2.2m),$13.3m
388620,DungeonUp,Plug In Digital,Adventure,$22.4k ($10.4k - $34.4k),$7.2m
49520,Borderlands 2,2K,Adventure,$99.8m ($69.3m - $130.4m),$1.7b
1802190,Puzzles For Clef,indie.io,Adventure,$24.5k ($15.3k - $33.8k),$36.8m
960990,Beyond: Two Souls,Quantic Dream,Adventure,$9.4m ($6.6m - $12.2m),$115.2m
356650,Death's Gambit: Afterlife,Serenity Forge,Adventure,$3.5m ($2.3m - $4.6m),$41.5m
2427410,S.T.A.L.K.E.R.: Shadow of Chornobyl - Enhanced Edition,GSC Game World,Adventure,$5m ($2.7m - $7.3m),$20.1m
372750,Girl Amazon Survival,Kobra Studio,Adventure,$10.5k ($4.7k - $16.3k),$49.4k
298110,Far Cry® 4,Ubisoft,Adventure,$54.9m ($43.8m - $66m),$2.4b
799600,Cosmoteer: Starship Architect & Commander,Walternate Realities,Adventure,$9.2m ($6.3m - $12.2m),$9.2m
733340,Hakuoki: Edo Blossoms,Idea Factory International,Adventure,$252.3k ($169.2k - $335.3k),$37.9m
1988550,To The Core,SomethingExtra,Adventure,$2.3m ($1.4m - $3.1m),$2.3m
1294810,Redfall,Bethesda Softworks,Adventure,$3.7m ($2.5m - $4.9m),$2.1b
215830,Closers,Naddic Games,Adventure,$1.4m ($993.4k - $1.8m),$1.4m
667890,Dead Maze,Atelier 801,Adventure,$15.7k ($11.7k - $19.6k),$7m
1606180,下一站江湖Ⅱ,白玉京工作室,Adventure,$3.9m ($2.4m - $5.4m),$3.9m
1889930,Baldur's Gate: Dark Alliance II,Interplay Entertainment Corp.,Adventure,$891.9k ($570.3k - $1.2m),$2.8m
19980,Prince of Persia,Ubisoft,Adventure,$1m ($656k - $1.3m),$2.4b
1144400,Senren＊Banka,HIKARI FIELD,Adventure,$18.3m ($11.8m - $24.8m),$46.9m
1051200,Trover Saves the Universe,"Squanch Games, Inc.",Adventure,$4.5m ($2.9m - $6.1m),$40.5m
2904290,RollScape,Leonardo the Vinchy,Adventure,$194.3k ($120.6k - $267.9k),$194.3k
1697700,Who's Lila?,Garage Heathen,Adventure,$560.8k ($418.2k - $703.5k),$597.3k
1933700,Smilemo,"CFK Co., Ltd.",Adventure,$226k ($123.7k - $328.4k),$718k
1934900,My Slow Life with the Princess Knight and Her Devoted Handmaiden,Shiravune,Adventure,$25.3k ($17.9k - $32.6k),$15.2m
1272840,Dordogne,Focus Entertainment,Adventure,$510.4k ($318.6k - $702.3k),$728.4m
3509160,BAIONLENJA,BAION,Adventure,$22.6k ($12.3k - $32.8k),$22.1k
362680,Fran Bow,Killmonday Games AB,Adventure,$3.8m ($3m - $4.7m),$8.8m
1687530,Elder Ring,2P Games,Adventure,$68.5k ($41k - $95.9k),$43.1m
250600,The Plan,Krillbite Studio,Adventure,0,$3.4m
399810,Call of Cthulhu,Focus Entertainment,Adventure,$10.3m ($7m - $13.6m),$728.4m
608800,Guns of Icarus Alliance,Muse Games,Adventure,$860.1k ($395.5k - $1.3m),$3.4m
1502790,Gun Witch,Kiyummi Games,Adventure,0,$0 
1497440,COCOON,Annapurna Interactive,Adventure,$3m ($2.2m - $3.8m),$188.4m
1079830,Cris Tales,Maximum Entertainment,Adventure,$178.7k ($113.5k - $243.9k),$32.3m
1205960,My Cute Fuhrer,Tranquility games,Adventure,$47.2k ($25.5k - $68.9k),$331.8k
1069740,Seen,Seen Games,Adventure,$98.2k ($55.3k - $141.2k),$98.2k
623080,planetarian HD,VisualArts,Adventure,$145.1k ($71.8k - $218.3k),$3m
365590,Tom Clancy’s The Division,Ubisoft,Adventure,$100.4m ($65.2m - $135.5m),$2.4b
899770,Last Epoch,Eleventh Hour Games,Adventure,$82.3m ($55.4m - $109.3m),$82.2m
2161440,Sailing Era,bilibili,Adventure,$2.4m ($1.7m - $3.1m),$130.4m
278530,3 Stars of Destiny,KOMODO,Adventure,$88.3k ($17.6k - $159k),$17.2m
399790,Destiny Warriors RPG,Senpai Industrial Studios,Adventure,$30.7k ($16.6k - $44.8k),$1m
1277950,Heart's Medicine - Season One,GameHouse,Adventure,$29.5k ($16.4k - $42.6k),$1.5m
849100,Alaskan Road Truckers,Green Man Gaming Publishing,Adventure,$1.6m ($1.1m - $2.2m),$2.7m
1990050,Creature Crafter,Daniel Lochner,Adventure,$37.9k ($19.8k - $56.1k),$37.9k
755950,Fantasy Quest Solitaire,rokaplay,Adventure,$33.5k ($14.8k - $52.2k),$1.2m
437420,The Secret Order 3: Ancient Times,Artifex Mundi,Adventure,$63.4k ($38.1k - $88.8k),$8.4m
1225580,Fe,Electronic Arts,Adventure,$154.1k ($85k - $223.1k),$4.5b
