appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players
1356810,Hexarchy,Yogscast Games,4X,$1.2m ($772k - $1.7m),$37.9m,630.0
241000,Jon Shafer's At the Gates,Conifer Games,4X,$290k ($202.5k - $377.5k),$290k,628.0
1683320,Power & Revolution 2021 Edition,Eversim,4X,$567.1k ($311.6k - $822.6k),$6.7m,603.0
1154840,Shadow Empire,Matrix Games,4X,$991k ($580.1k - $1.4m),$17.2m,594.0
1901910,Ultimate General: American Revolution,Game-Labs,4X,$1.1m ($724.4k - $1.4m),$21m,559.0
1116880,The Heroic Legend of Eagarlnia,Pixmain,4X,$450.2k ($323k - $577.5k),$2m,558.0
2340500,Three Kingdoms: Innovatory,Moment HK,4X,$222.7k ($149k - $296.3k),$222.7k,555.0
499660,Medieval Kingdom Wars,indie.io,4X,$2.2m ($1.5m - $2.9m),$36.8m,544.0
418250,Polaris Sector,Slitherine Ltd.,4X,$516.6k ($303.8k - $729.5k),$97.4m,542.0
718650,Driftland: The Magic Revival,Star Drifters,4X,$1m ($660.4k - $1.4m),$2.6m,541.0
874390,The Battle of Polytopia,Midjiwan AB,4X,$3.3m ($1.7m - $5m),$3.4m,535.0
16810,Sid Meier's Civilization IV: Colonization,2K,4X,$1.8m ($1m - $2.6m),$1.7b,522.0
464880,Stars in Shadow,Iceberg Interactive,4X,$366.7k ($237.3k - $496.1k),$34.2m,464.0
1011390,Field of Glory: Empires,Slitherine Ltd.,4X,$830.5k ($544k - $1.1m),$97.4m,466.0
1597310,Airship: Kingdoms Adrift,indie.io,4X,$727.4k ($513.5k - $941.4k),$36.8m,417.0
1085660,Destiny 2,Bungie,Action,$912.3m ($522.3m - $1.3b),$912.4m,316651.0
304390,FOR HONOR,Ubisoft,Action,$171.8m ($107.4m - $236.2m),$2.4b,216499.0
1174180,Red Dead Redemption 2,Rockstar Games,Action,$439.2m ($323.3m - $555.1m),$770.8m,99759.0
601150,Devil May Cry 5,"CAPCOM Co., Ltd.",Action,$132.4m ($83.4m - $181.5m),$1.8b,88735.0
1254120,Bless Unleashed,VALOFE,Action,$9.8m ($6.6m - $12.9m),$27.3m,76273.0
2993780,FANTASY LIFE i: The Girl Who Steals Time,LEVEL5 Inc.,Action,$24.8m ($16.9m - $32.7m),$37.7m,65347.0
2384580,DYNASTY WARRIORS: ORIGINS,"KOEI TECMO GAMES CO., LTD.",Action,$49.2m ($32.1m - $66.3m),$424.5m,69318.0
1172620,Sea of Thieves: 2025 Edition,Xbox Game Studios,Action,$273.9m ($193.4m - $354.4m),$1.8b,66632.0
848450,Subnautica: Below Zero,Unknown Worlds Entertainment,Action,$48.7m ($38m - $59.5m),$185.6m,42057.0
678960,CODE VEIN,Bandai Namco Entertainment,Action,$71.8m ($50.2m - $93.3m),$1.7b,33804.0
1942280,Brotato,Blobfish,Action,$21.3m ($13.5m - $29m),$21.4m,38761.0
48000,LIMBO,Playdead,Action,$6.1m ($3.8m - $8.5m),$21.1m,27454.0
1693980,Dead Space,Electronic Arts,Action,$50.6m ($39.2m - $62.1m),$4.5b,28842.0
221380,Age of Empires II (Retired),Xbox Game Studios,Action,$63.8m ($34.6m - $92.9m),$1.8b,27618.0
240760,Wasteland 2: Director's Cut,inXile Entertainment,Action,$9.8m ($7.3m - $12.3m),$49m,18576.0
2849080,Kingdom Rush 5: Alliance TD,Ironhide Game Studio,Action,$6.6m ($4.6m - $8.5m),$28.7m,15843.0
555160,Pavlov,Vankrupt Games,Action,$24.5m ($16.8m - $32.2m),$24.4m,17629.0
274940,Depth,Digital Confectioners,Action,$11.7m ($7.9m - $15.4m),$11.7m,10775.0
1645820,SurrounDead,PlaySurrounDead,Action,$6.6m ($4.5m - $8.8m),$6.6m,10713.0
292120,FINAL FANTASY XIII,Square Enix,Action,$8.3m ($6.3m - $10.4m),$1b,8320.0
1498570,THE KING OF FIGHTERS XV,SNK CORPORATION,Action,$10.3m ($6.5m - $14m),$35.7m,8205.0
826630,Iron Harvest,Prime Matter,Action,$27.6m ($16.8m - $38.5m),$76.6m,8145.0
265300,Lords Of The Fallen 2014,CI Games,Action,$17.2m ($10.4m - $23.9m),$116.9m,8014.0
699130,World War Z,Saber Interactive Inc,Action,$35.3m ($22.7m - $47.9m),$35.3m,7943.0
1485590,ENDLESS Dungeon - Definitive Edition,AMPLITUDE Studios,Action,$4.5m ($3.2m - $5.8m),$86.3m,7935.0
1798010,Mega Man Battle Network Legacy Collection Vol. 1,"CAPCOM Co., Ltd.",Action,$4.6m ($2.6m - $6.6m),$1.8b,7747.0
487120,Citadel: Forged with Fire,Blue Isle Publishing,Action,$3.9m ($2.7m - $5.2m),$7.5m,7720.0
669330,Mechabellum,Dreamhaven,Action,$7.8m ($5.8m - $9.9m),$15m,7740.0
1256670,Library Of Ruina,ProjectMoon,Action,$13m ($9.5m - $16.4m),$108.8m,7211.0
385400,Weapons Genius,Conglomerate 5,Action,$391.6k ($78.3k - $705k),$2.5m,5985.0
640380,UBERMOSH Vol.5,Walter Machado,Action,$15.4k ($11.5k - $19.3k),$297.2k,5932.0
412880,Drift Streets Japan,SA Industry,Action,$1.9m ($1m - $2.8m),$4m,5559.0
285160,LEGO The Hobbit,Warner Bros. Interactive Entertainment,Action,$2.8m ($1.3m - $4.2m),$446.3m,5549.0
2000890,MechWarrior 5: Clans,Piranha Games Inc.,Action,$3.7m ($2.3m - $5.1m),$24.6m,5548.0
2294660,The Quinfall,Vawraek Technology Inc.,Action,$1.3m ($896.8k - $1.8m),$1.3m,5184.0
617830,SUPERHOT VR,SUPERHOT Team,Action,$7.8m ($4.7m - $10.9m),$43.2m,4734.0
450860,Andarilho,SC Jogos,Action,$22.6k ($13.5k - $31.6k),$762.8k,3904.0
1150530,Wizard with a Gun,Devolver Digital,Action,$5.2m ($3.2m - $7.2m),$501.4m,3844.0
911400,Assassin's Creed III Remastered,Ubisoft Entertainment,Action,$9.5m ($6.2m - $12.8m),$55.9m,3473.0
239250,Castlevania: Lords of Shadow 2,KONAMI,Action,$5.8m ($4m - $7.5m),$639.8m,3784.0
268130,Heat Signature,Suspicious Developments,Action,$3.3m ($2.4m - $4.2m),$12.4m,3825.0
404410,Endless Sky,Michael Zahniser,Action,0,$0 ,2950.0
312990,The Expendabros,Devolver Digital,Action,0,$501.4m,2927.0
1016950,Blood Bowl 3,Nacon,Action,$2.2m ($1.5m - $3m),$157.6m,3076.0
339340,Resident Evil 0,"CAPCOM Co., Ltd.",Action,$4.6m ($3m - $6.2m),$1.8b,2924.0
3328720,Flash Doll,Game Star,Action,$531.4k ($329.9k - $732.8k),$816.4k,2876.0
462780,Darksiders Warmastered Edition,THQ Nordic,Action,$2.3m ($1.4m - $3.2m),$387.4m,2890.0
513610,Madrobot X,Sometimes You,Action,$1.2k ($617 - $1.8k),$605.9k,2604.0
1740720,Have a Nice Death,Arc Games,Action,$9.2m ($6.5m - $11.9m),$330.6m,2481.0
420560,Firefighting Simulator - The Squad,astragon Entertainment,Action,$6.2m ($4.1m - $8.2m),$103.7m,2582.0
1815570,Aces & Adventures,Yogscast Games,Action,$994.7k ($592.7k - $1.3m),$37.9m,2431.0
533780,Zombie Defense,Home Net Games,Action,$2k ($1.2k - $2.8k),$440.6k,2356.0
345180,Victor Vran ARPG,Haemimont Games,Action,$3.1m ($1.9m - $4.2m),$3.2m,2410.0
58610,Wargame: European Escalation,Eugen Systems,Action,$906.1k ($482.8k - $1.3m),$60.1m,2197.0
2695490,Age of Water,Gaijin Network Ltd,Action,$1.6m ($928.6k - $2.2m),$516.7m,2188.0
1699480,KLETKA,Callback,Action,$2.7m ($1.6m - $3.8m),$2.6m,1701.0
272470,The Incredible Adventures of Van Helsing II,NeocoreGames,Action,$1.5m ($879.9k - $2.2m),$38.8m,1688.0
326120,Horizon Shift,Funbox Media Ltd,Action,$22.4k ($4.4k - $40.3k),$509.5k,1577.0
2510710,Kunitsu-Gami: Path of the Goddess,"CAPCOM Co., Ltd.",Action,$2m ($1.5m - $2.5m),$1.8b,1567.0
314710,Mighty No. 9,Deep Silver,Action,$1.6m ($1m - $2.1m),$567.3m,1556.0
418030,Subsistence,ColdGames,Action,$5.1m ($3.5m - $6.8m),$5.1m,1527.0
312780,Way of the Samurai 4,"Spike Chunsoft Co., Ltd.",Action,$1.5m ($1.1m - $1.9m),$94.5m,1534.0
366090,Colony Survival,Pipliz,Action,$6.5m ($5m - $8.1m),$6.5m,1488.0
1934570,South of Midnight,Xbox Game Studios,Action,$2.6m ($1.7m - $3.4m),$1.8b,1438.0
375850,Island Defense,Stereo7 Games,Action,$23.8k ($4.7k - $42.9k),$32.4k,1373.0
1634860,Minishoot' Adventures,SoulGame Studio,Action,$1.5m ($1.1m - $2m),$1.5m,1340.0
