appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue
1216060,DNF Duel,NEXON,Fighting,$3.9m ($2.5m - $5.4m),$184.6m
844870,KurtzPel,KOG,Fighting,$3.5m ($2.5m - $4.4m),$41.9m
1742020,Idol Showdown,holo Indie,Fighting,0,$1.3m
242700,Injustice: Gods Among Us Ultimate Edition,Warner Bros. Interactive Entertainment,Fighting,$8.3m ($3.9m - $12.8m),$446.3m
629730,Blade and Sorcery,WarpFrog,Fighting,$36.8m ($26.9m - $46.6m),$36.8m
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,BANDAI NAMCO Entertainment,Fighting,$53.1m ($34.7m - $71.5m),$478.1m
1206610,Rubber Bandits,Flashbulb,Fighting,$1.9m ($1.1m - $2.8m),$14.6m
1089090,ONE PIECE: PIRATE WARRIORS 4,BANDAI NAMCO Entertainment,Fighting,$20.1m ($12.3m - $27.8m),$478.1m
1451190,Undisputed,Deep Silver,Fighting,$13.3m ($8.7m - $17.9m),$567.3m
200260,Batman: Arkham City - Game of the Year Edition,WB Games,Fighting,$10.5m ($6.6m - $14.3m),$198.6m
35140,Batman: Arkham Asylum Game of the Year Edition,WB Games,Fighting,$10m ($6.1m - $13.8m),$198.6m
1689620,BLEACH Rebirth of Souls,Bandai Namco Entertainment Inc.,Fighting,$5.7m ($3.6m - $7.7m),$237.6m
1602010,Persona 4 Arena Ultimax,SEGA,Fighting,$3.8m ($2.1m - $5.4m),$1.6b
578620,GORN,Devolver Digital,Fighting,$8.3m ($4.8m - $11.8m),$501.4m
1372110,JoJo's Bizarre Adventure: All-Star Battle R,Bandai Namco Entertainment,Fighting,$11.6m ($8.1m - $15.2m),$1.7b
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,BANDAI NAMCO Entertainment,Fighting,$10.8m ($6.9m - $14.7m),$478.1m
2492040,FATAL FURY: City of the Wolves,SNK CORPORATION,Fighting,$4.4m ($3.3m - $5.5m),$35.7m
394310,Punch Club,tinyBuild,Fighting,$4.8m ($3.4m - $6.3m),$179.6m
331600,One Piece Pirate Warriors 3,BANDAI NAMCO Entertainment,Fighting,$9m ($6.8m - $11.2m),$478.1m
245170,Skullgirls 2nd Encore,Autumn Games,Fighting,$10.2m ($6.8m - $13.7m),$10.2m
2918150,ONE PIECE Bounty Rush,Bandai Namco Entertainment Inc.,Fighting,$4m ($1.8m - $6.2m),$237.6m
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,"KOEI TECMO GAMES CO., LTD.",Fighting,$19.3m ($13m - $25.7m),$424.5m
1163550,Captain Tsubasa: Rise of New Champions,BANDAI NAMCO Entertainment,Fighting,$5.1m ($3.1m - $7m),$478.1m
493840,Marvel vs. Capcom: Infinite,Capcom,Fighting,$2.4m ($1.5m - $3.4m),$248m
495910,Dungeon Fighter Online,Neople,Fighting,$13.6m ($9.1m - $18.1m),$13.6m
1335200,Action Taimanin,Infini-Brain inc.,Fighting,$25.1m ($16.3m - $33.8m),$25.1m
1090630,Granblue Fantasy: Versus,XSEED Games,Fighting,$14.7m ($8.4m - $21.1m),$125.7m
418340,RWBY: Grimm Eclipse,FarBridge,Fighting,$4.9m ($3m - $6.7m),$4.9m
1343240,Thymesia,Team17,Fighting,$4.2m ($3m - $5.4m),$491.6m
1123770,Curse of the Dead Gods,Focus Entertainment,Fighting,$6.5m ($4.1m - $8.8m),$728.4m
285900,Gang Beasts,Boneloaf,Fighting,$48.1m ($34m - $62.2m),$48.1m
3027930,Karate Survivor,Alawar,Fighting,$581.5k ($397.3k - $765.7k),$13.3m
383980,Rivals of Aether,Aether Studios,Fighting,$12.5m ($9.3m - $15.7m),$18.8m
702890,BlazBlue: Cross Tag Battle,Arc System Works,Fighting,$4.6m ($2.8m - $6.5m),$87.6m
248570,Toribash,"Nicalis, Inc.",Fighting,0,$84.8m
348550,GUILTY GEAR XX ACCENT CORE PLUS R,Arc System Works,Fighting,$2.1m ($1.3m - $2.8m),$87.6m
6020,STAR WARS Jedi Knight - Jedi Academy,LucasArts,Fighting,$2.4m ($1.2m - $3.7m),$124.9m
1557740,ROUNDS,Landfall,Fighting,$7.6m ($4.8m - $10.3m),$200.8m
2076010,UNDER NIGHT IN-BIRTH II Sys:Celes,Arc System Works,Fighting,$3.7m ($2.5m - $4.9m),$87.6m
627270,Injustice 2,WB Games,Fighting,$11.2m ($6.7m - $15.6m),$198.6m
576480,Drunken Fight Simulator,Volens Nolens Games,Fighting,$8.3k ($1.6k - $15k),$658.4k
2634890,MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,"CAPCOM Co., Ltd.",Fighting,$4.1m ($2.6m - $5.6m),$1.8b
411370,Melty Blood Actress Again Current Code,Arc System Works,Fighting,$2.7m ($1.8m - $3.5m),$87.6m
921590,DISSIDIA FINAL FANTASY NT Free Edition,Square Enix,Fighting,$1.2m ($658.9k - $1.8m),$1b
597170,Clone Drone in the Danger Zone,Doborog Games,Fighting,$9.5m ($7.1m - $12m),$10m
798510,SUPER DRAGON BALL HEROES WORLD MISSION,BANDAI NAMCO Entertainment,Fighting,$2.5m ($1.6m - $3.4m),$478.1m
264200,One Finger Death Punch,Silver Dollar Games,Fighting,$2.3m ($1.5m - $3m),$2.6m
1259790,Puyo Puyo Tetris 2,SEGA,Fighting,$5.2m ($2.4m - $8m),$1.6b
746580,HARDCORE MECHA,RocketPunch Games,Fighting,$927.5k ($596.3k - $1.2m),$1.2m
357190,ULTIMATE MARVEL VS. CAPCOM 3,"CAPCOM U.S.A., INC.",Fighting,$7.1m ($4.4m - $9.8m),$7.1m
586200,Street Fighter 30th Anniversary Collection,"Capcom U.S.A, Inc.",Fighting,$4.1m ($1.9m - $6.2m),$4.1m
564230,Fire Pro Wrestling World,"Spike Chunsoft Co., Ltd.",Fighting,$1.6m ($981.2k - $2.3m),$94.5m
1020790,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Bandai Namco Entertainment,Fighting,$4.6m ($3.2m - $5.9m),$1.7b
214770,Guacamelee! Gold Edition,Drinkbox Studios,Fighting,$4m ($2m - $6m),$12.7m
716710,東方憑依華　～ Antinomy of Common Flowers.,"SUNFISH Co., Ltd.",Fighting,$1.1m ($734.6k - $1.6m),$1.4m
3112260, Virtua Fighter 5 R.E.V.O. World Stage,SEGA,Fighting,$1.1m ($766.5k - $1.4m),$1.6b
337320,Paint the Town Red,South East Games,Fighting,$11.7m ($8.5m - $14.9m),$11.8m
3920,Sid Meier's Pirates!,2K,Fighting,$1.5m ($905.6k - $2.2m),$1.7b
424280,Iron Snout,SnoutUp,Fighting,0,$29k
209120,Street Fighter X Tekken,"Capcom U.S.A., Inc.",Fighting,$15.4k ($8.4k - $22.3k),$15.4k
758330,Shenmue I & II,SEGA,Fighting,$1.6m ($847.1k - $2.3m),$1.6b
748360,MY HERO ONE'S JUSTICE,BANDAI NAMCO Entertainment,Fighting,$1.4m ($808.1k - $2m),$478.1m
314030,Guilty Gear X2 #Reload,Arc System Works,Fighting,$124.4k ($24.8k - $223.9k),$87.6m
755500,ONE PIECE World Seeker,BANDAI NAMCO Entertainment,Fighting,$4.2m ($2.7m - $5.6m),$478.1m
571260,THE KING OF FIGHTERS XIV STEAM EDITION,SNK CORPORATION,Fighting,$7.4m ($4.6m - $10.1m),$35.7m
1215390,Animal Revolt Battle Simulator,VDimension,Fighting,$2.7m ($1.4m - $3.9m),$2.7m
411830,SENRAN KAGURA SHINOVI VERSUS,XSEED Games,Fighting,$3m ($2.2m - $3.8m),$125.7m
801630,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],Arc System Works,Fighting,$4.3m ($2.4m - $6.3m),$87.6m
425220,One Piece Burning Blood,BANDAI NAMCO Entertainment,Fighting,$3.4m ($2.2m - $4.6m),$478.1m
577940,Killer Instinct,Xbox Game Studios,Fighting,$2.4m ($1.8m - $3m),$1.8b
1390410,Midnight Fight Express,Humble Games,Fighting,$1m ($752.6k - $1.2m),$202.5m
601220,Zup! F,Quiet River,Fighting,$285.5k ($166.3k - $404.7k),$2.4m
1835240,Spiritfall,Gentle Giant,Fighting,$828.4k ($613.1k - $1m),$828.5k
804490,Creed: Rise to Glory,Survios,Fighting,$1.2m ($746.5k - $1.7m),$9.1m
1116960,UNDEFEATED,Vantan Game Academy,Fighting,0,$0 
1021770, Wanba Warriors,Wanba Studio,Fighting,$844.6k ($477.9k - $1.2m),$1.4m
25000,Overgrowth,Wolfire Games,Fighting,$6.9m ($4.5m - $9.4m),$8.9m
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,SNK CORPORATION,Fighting,$1.6m ($1m - $2.1m),$35.7m
1420350,Fraymakers,Team Fray,Fighting,$976.5k ($636.9k - $1.3m),$974.7k
495140,NARUTO: Ultimate Ninja STORM,BANDAI NAMCO Entertainment,Fighting,$2.5m ($1.7m - $3.3m),$478.1m
1669170,Northend Tower Defense,Northend Games,Fighting,$432.7k ($259.4k - $606k),$432.7k
2536260,Mayhemers,Anigtas,Fighting,$69.6k ($37.6k - $101.7k),$69.6k
1685750,Capcom Fighting Collection,"CAPCOM Co., Ltd.",Fighting,$1.9m ($961k - $2.8m),$1.8b
1000360,Hellish Quart,Kubold,Fighting,$4.7m ($3m - $6.3m),$4.7m
232770,POSTAL,Running With Scissors,Horror,0,$19.5m
1966720,Lethal Company,Zeekerss,Horror,$144.1m ($101.4m - $186.8m),$144.5m
395170,DISTRAINT: Deluxe Edition,Jesse Makkonen,Horror,$230.7k ($141.5k - $319.9k),$554.6k
391720,Layers of Fear (2016),Bloober Team SA,Horror,$9.1m ($5.4m - $12.8m),$23.7m
782330,DOOM Eternal,Bethesda Softworks,Horror,$169.8m ($121.6m - $217.9m),$2.1b
976310,Mortal Kombat 11,Warner Bros. Games,Horror,$86.6m ($53.8m - $119.3m),$882.3m
2531310,The Last of Us Part II Remastered,PlayStation Publishing LLC,Horror,$33.5m ($22.8m - $44.1m),$1.3b
418460,Rising Storm 2: Vietnam,Tripwire Interactive,Horror,$21.8m ($15.7m - $27.9m),$237.9m
418370,Resident Evil 7 Biohazard,"CAPCOM Co., Ltd.",Horror,$69m ($44.4m - $93.6m),$1.8b
1987080,Inside the Backrooms,MrFatcat,Horror,$17.5m ($10.9m - $24.1m),$17.5m
2625420,Drive Beyond Horizons,Tacty Studio,Horror,$19.7m ($13.5m - $25.9m),$19.7m
307780,Mortal Kombat X,Warner Bros. Games,Horror,$51m ($33.7m - $68.3m),$882.3m
1562430,DREDGE,Team17,Horror,$34.4m ($23.5m - $45.4m),$491.6m
934700,Dead Island 2,Deep Silver,Horror,$18.3m ($13.1m - $23.4m),$567.3m
2095300,Breakout 13,ALT Lab,Horror,$2.2m ($1.5m - $2.9m),$2.3m
3014080,The Hundred Line -Last Defense Academy-,Aniplex Inc.,Horror,$6.5m ($4.3m - $8.7m),$14.6m
221040,Resident Evil 6,Capcom,Horror,$38.6m ($27.7m - $49.4m),$248m
2644470,PICO PARK 2,TECOPARK,Horror,$3.8m ($2.1m - $5.4m),$17.3m
963330,Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),Zloy Krot Studio,Horror,$6.6k ($3.5k - $9.6k),$18.3k
813230,ANIMAL WELL,Bigmode,Horror,$13m ($9.1m - $16.8m),$13.8m
568220,Lobotomy Corporation | Monster Management Simulation,ProjectMoon,Horror,$21.7m ($15.2m - $28.1m),$108.8m
1063660,Bendy and the Dark Revival,Joey Drew Studios,Horror,$4.4m ($3.2m - $5.7m),$16.6m
393530,Insanity Clicker,PlayFlock,Horror,$51.8k ($37.5k - $66.1k),$53k
1552350,The Jackbox Party Pack 8,"Jackbox Games, Inc.",Horror,$4.2m ($2.3m - $6m),$65.9m
282800,100% Orange Juice,Fruitbat Factory,Horror,$1.5m ($945k - $2.2m),$3.3m
1963370,No One Survived,Cat Play Studio,Horror,$3.5m ($2.6m - $4.5m),$3.6m
404590,Vikings - Wolves of Midgard,Kalypso Media Digital,Horror,$2.6m ($1.6m - $3.5m),$47.6m
1766740,Choo-Choo Charles,Two Star Games,Horror,$7.2m ($5.2m - $9.2m),$7.4m
282140,SOMA,Frictional Games,Horror,$11m ($7.9m - $14.1m),$30.8m
752590,A Plague Tale: Innocence,Focus Entertainment,Horror,$25.4m ($18.7m - $32.1m),$728.4m
1419170,My Singing Monsters,Big Blue Bubble,Horror,$8.7m ($5.7m - $11.7m),$9.4m
1608450,Hellslave,Dear Villagers,Horror,$301.2k ($141.2k - $461.3k),$33.7m
320240,We Happy Few,Gearbox Publishing,Horror,$14.8m ($10.2m - $19.4m),$259.9m
227100,Sniper Elite: Nazi Zombie Army,Rebellion,Horror,$3.8m ($2.2m - $5.4m),$225m
2021910,FPS Chess,DigiPen Institute of Technology,Horror,0,$0 
21690,Resident Evil 5,Capcom,Horror,$27.8m ($19.4m - $36.2m),$248m
1839950,Terminator: Dark Fate - Defiance,Slitherine Ltd.,Horror,$3.1m ($2.1m - $4.1m),$97.4m
321270,UNLOVED,Paul Schneider,Horror,$335.5k ($169.5k - $501.6k),$512.2k
429570,The Walking Dead: Michonne - A Telltale Miniseries,Skybound Games,Horror,$1.8m ($1.2m - $2.3m),$81.1m
338170,Ratz Instagib,Rarebyte,Horror,$795.2k ($525.1k - $1m),$855.4k
543460,Dead Rising 4,Capcom,Horror,$5.5m ($3.2m - $7.7m),$248m
1049800,BLOCKADE,Novalink,Horror,$79.2k ($51.4k - $106.9k),$135.9k
637100,Sonic Forces,SEGA,Horror,$4.8m ($3.1m - $6.5m),$1.6b
520720,Dear Esther: Landmark Edition,Secret Mode,Horror,$566.5k ($313.4k - $819.7k),$74.5m
604010,Chimpology,Junkhive,Horror,$2.6k ($1.3k - $3.9k),$2.6k
2322440,METAL SLUG ATTACK RELOADED,SNK CORPORATION,Horror,$282.5k ($180.5k - $384.5k),$35.7m
628670,Hellpoint,tinyBuild,Horror,$3.2m ($2.1m - $4.3m),$179.6m
332800,Five Nights at Freddy's 2,Scott Cawthon,Horror,$6.8m ($4m - $9.5m),$27.7m
588160,Pizza Connection 3,Assemble Entertainment,Horror,$1.7m ($1m - $2.5m),$24.3m
388090,Five Nights at Freddy's 4,Scott Cawthon,Horror,$5.2m ($3.5m - $7m),$27.7m
2497920,A Difficult Game About Climbing,Pontypants,Horror,$1.7m ($1.3m - $2.1m),$1.9m
612470,Bio Inc. Redemption,DryGin Studios,Horror,$1.5m ($1m - $2m),$1.5m
521890,Hello Neighbor,tinyBuild,Horror,$8.8m ($5.9m - $11.7m),$179.6m
2475490,Mouthwashing,CRITICAL REFLEX,Horror,$6.6m ($4.6m - $8.6m),$34.9m
998740,Ring of Pain,Humble Games,Horror,$1.5m ($966.2k - $2.1m),$202.5m
779290,Stygian: Reign of the Old Ones,Fulqrum Publishing,Horror,$1.4m ($992.8k - $1.8m),$51.6m
492630,Bear With Me - Episode One,Miyagi Games,Horror,$2.5k ($1.8k - $3.2k),$10.8k
504210,SHENZHEN I/O,Zachtronics,Horror,$1.8m ($1.1m - $2.6m),$14.4m
726360,BOOBS SAGA: Prepare To Hentai Edition,Boobs Dev,Horror,$62k ($18.5k - $105.5k),$62k
1426490,LOST EPIC,One or Eight,Horror,$583.8k ($357.9k - $809.7k),$740.2k
1059990,Trombone Champ,Holy Wow Studios LLC,Horror,$5.6m ($3.7m - $7.6m),$5.6m
1067850,Kindergarten 2,SmashGames,Horror,$1.9m ($1.3m - $2.5m),$12.4m
1245430,Golden Light,Mr. Pink,Horror,$638.5k ($365.8k - $911.1k),$753.9k
751630,After the Fall,Vertigo Games,Horror,$3.8m ($2m - $5.5m),$35.5m
220820,Zombie Driver HD,Exor Studios,Horror,$532.1k ($320.8k - $743.4k),$532.2k
980610,Quaver,Swan,Horror,$7.3k ($1.6k - $13k),$7.3k
420530,OneShot,KOMODO,Horror,$5.5m ($3.8m - $7.2m),$17.2m
365300,Transmissions: Element 120,Self Published,Horror,0,$2.5k
2232840,Garten of Banban,Euphoric Brothers,Horror,0,$3.1m
1359980,POSTAL: Brain Damaged,Running With Scissors,Horror,$2.2m ($1.4m - $3m),$19.5m
515040,Make America Great Again: The Trump Presidency,Three Guys Game Studio,Horror,$197.9k ($126.7k - $269.2k),$204.1k
390290,Bulb Boy,Bulbware,Horror,$175.7k ($106.3k - $245.1k),$183.7k
594160,The Last Patient,NGV Studio,Horror,$1k ($213 - $1.9k),$1.2k
1398210,Selene ~Apoptosis~,Nupu Neko Dev,Horror,$172.3k ($122.2k - $222.5k),$905k
331480,Pinstripe,Armor Games Studios,Horror,$370.2k ($246.1k - $494.4k),$20.7m
94300,The Dream Machine: Chapter 1 & 2,The Sleeping Machine,Horror,$149k ($40.7k - $257.3k),$161.7k
1515900,Heaven Dust 2,indienova,Horror,$168k ($98.3k - $237.7k),$41.5m
323720,Decay: The Mare,Daedalic Entertainment,Horror,$133.4k ($79.4k - $187.5k),$159.9m
1879380,Paper Bride 2 Zangling Village,HeartBeat Plus,Horror,$290.7k ($191.2k - $390.2k),$1.7m
1010750,Blood Fresh Supply,Atari,Horror,$1.6m ($1.1m - $2.2m),$37.7m
9010,Return to Castle Wolfenstein,Bethesda Softworks,Horror,$1.3m ($787k - $1.8m),$2.1b
478980,Mansions of Madness,Fantasy Flight Games,Horror,$118.7k ($61k - $176.4k),$166.9k
42670,Singularity,Activision,Horror,$3.6m ($2.8m - $4.4m),$1.5b
986040,The Unliving,Team17 Digital,Horror,$373.6k ($227.4k - $519.8k),$21.5m
720250,Welcome to the Game II,Reflect Studios,Horror,$1.4m ($979.2k - $1.8m),$2.5m
1012560,Snakeybus,"Stovetop, LLC",Horror,$1.1m ($633k - $1.5m),$1.1m
2989950,The Bathhouse | 地獄銭湯 Restored Edition,Chilla's Art,Horror,$248.4k ($151.4k - $345.5k),$4.4m
619540,Darkwater,Playstack,Horror,$385.9k ($256.5k - $515.3k),$116.9m
2167960,买个可乐饼吧！ - Buy a Croquette!,Eternal Dream,Horror,$781 ($368 - $1.1k),$57.2k
407300,The Last NightMary - A Lenda do Cabeça de Cuia,Submersivo Game Studio,Horror,$71.4k ($39.7k - $103.1k),$71.4k
248470,Doorways: Prelude,Saibot Studios,Horror,$113.2k ($57.3k - $169.2k),$756.5k
1119980,In Sound Mind,Maximum Entertainment,Horror,$1.6m ($969k - $2.3m),$32.3m
1373510,BloodRayne: Terminal Cut,Ziggurat,Horror,$558k ($305.6k - $810.4k),$2.9m
844930,Fox Hime Zero,SakuraGame,Horror,$113.9k ($71.9k - $155.8k),$3.9m
530890,Haydee,Haydee Interactive,Horror,$2.1m ($1.4m - $2.7m),$3m
562220,Zup! 2,Quiet River,Horror,$231.5k ($144k - $319k),$2.4m
508900,Zup! X,Quiet River,Horror,$82.1k ($51.2k - $112.9k),$2.4m
1315980,Tin Can,Tin Can Studio,Horror,$540.9k ($371.4k - $710.4k),$540.4k
1394270,SCP: Escape Together,SCP: Escape Together development team,Horror,0,$0 
1478160,Nyaruru Fishy Fight,赤瞳大白猫,Horror,$151.4k ($75.6k - $227.3k),$210.1k
899770,Last Epoch,Eleventh Hour Games,Indie,$82.3m ($55.4m - $109.3m),$82.2m
526870,Satisfactory,Coffee Stain Publishing,Indie,$170.8m ($113.6m - $228.1m),$592.7m
510840,Evolvation,HyperReuts,Indie,$180.7k ($36.1k - $325.3k),$180.7k
227300,Euro Truck Simulator 2,SCS Software,Indie,$122.5m ($92.7m - $152.2m),$173.1m
1296830,暖雪 Warm Snow,bilibili,Indie,$21.1m ($13.8m - $28.4m),$133.8m
569610,Distant Space,PixelMouse,Indie,$110k ($60.4k - $159.6k),$144.3k
1190970,House Flipper 2,Frozen District,Indie,$34.3m ($21.9m - $46.7m),$99.1m
244210,Assetto Corsa,Kunos Simulazioni,Indie,$112.5m ($75.3m - $149.7m),$112.5m
274170,Hotline Miami 2: Wrong Number,Devolver Digital,Indie,$12.7m ($9.1m - $16.3m),$501.4m
690830,Foundation,Polymorph Games,Indie,$26.5m ($18.2m - $34.7m),$26.5m
714010,Aim Lab,Statespace,Indie,$24.6m ($13.5m - $35.6m),$24.6m
1029780,Going Medieval,Mythwright,Indie,$16.2m ($11m - $21.4m),$41.3m
590380,Into the Breach,Subset Games,Indie,$12m ($7.9m - $16m),$30.8m
2407270,AI LIMIT,CE-Asia,Indie,$14m ($8.7m - $19.4m),$18.2m
204300,Awesomenauts,Atari,Indie,$4.9m ($2.4m - $7.4m),$37.7m
972660,Spiritfarer: Farewell Edition,Thunder Lotus,Indie,$21m ($14.3m - $27.8m),$26.5m
385080,Guardians of Victoria,New Reality Games,Indie,$21k ($4.2k - $37.9k),$603.1k
1222700,A Way Out,Electronic Arts,Indie,$29.9m ($19.6m - $40.1m),$4.5b
326460,ShellShock Live,kChamp Games,Indie,$13.2m ($8.4m - $18.1m),$13.3m
704850,Thief Simulator,PlayWay S.A.,Indie,$18.1m ($9.4m - $26.8m),$275.8m
738060,Freddy Fazbear's Pizzeria Simulator,Scott Cawthon,Indie,0,$27.7m
1492070,Sker Ritual,Wales Interactive,Indie,$4.8m ($3m - $6.6m),$12.7m
2638370,Five Nights at Freddy's: Into the Pit,Mega Cat Studios,Indie,$3.1m ($2m - $4.2m),$3.1m
240720,Getting Over It with Bennett Foddy,Bennett Foddy,Indie,$18.1m ($13.3m - $22.9m),$18.1m
297130,Titan Souls,Devolver Digital,Indie,$2.1m ($1.3m - $2.8m),$501.4m
274190,Broforce,Devolver Digital,Indie,$18.8m ($12.7m - $25m),$501.4m
1097430,Book of Yog Idle RPG,元气工作室,Indie,$9m ($6.2m - $11.9m),$9m
1332720,Thief Simulator 2,PlayWay S.A.,Indie,$5.2m ($3.4m - $6.9m),$275.8m
2068280,Nordic Ashes: Survivors of Ragnarok,Noxfall Studios,Indie,$1.5m ($965.4k - $2.1m),$1.5m
351030,Pixel Puzzles Ultimate Jigsaw Puzzles,Pixel Puzzles,Indie,$140.8k ($105.9k - $175.8k),$595.6k
506610,Five Nights at Freddy's: Sister Location,Scott Cawthon,Indie,$3.5m ($2.5m - $4.5m),$27.7m
466910,Worm.is: The Game,Freakinware Studios,Indie,$6.8k ($4.9k - $8.6k),$366.2k
1127400,Mindustry,AnukenDev,Indie,$5.7m ($3.8m - $7.7m),$5.7m
466860,上帝之城 I：监狱帝国 [City of God I - Prison Empire],Pixel Gangsta Studio,Indie,$401.1k ($250.8k - $551.3k),$401.1k
1123830,Farm Manager 2021,PlayWay S.A.,Indie,$1.3m ($832.9k - $1.9m),$275.8m
824270,KovaaK's,KovaaK Games,Indie,$16.2m ($10.3m - $22.1m),$16.2m
223710,Cry of Fear,Team Psykskallar,Indie,0,$0 
581970,Zombie Ballz,My Way Games,Indie,$4.7k ($2k - $7.4k),$729k
2758000,Vanity Fair: The Pursuit,Wave Games,Indie,$688.7k ($514.8k - $862.5k),$3.9m
283000,Strategic War in Europe,Conglomerate 5,Indie,$98k ($19.6k - $176.4k),$2.5m
683830,Weable,Valkyrie Initiative,Indie,$5.8k ($2.3k - $9.3k),$2.8m
1347970,Patch Quest,Curve Games,Indie,$1.2m ($671.9k - $1.7m),$196.4m
618140,Barro,SC Jogos,Indie,$67.8k ($29.8k - $105.8k),$762.8k
94400,Nidhogg,Messhof,Indie,$5.9m ($3.2m - $8.6m),$7.1m
1291010,Warpips,Daedalic Entertainment,Indie,$2.4m ($1.5m - $3.3m),$159.9m
1022450,War Selection,Glyph Worlds,Indie,$1.9m ($1.3m - $2.4m),$1.9m
1111460,小白兔电商~Bunny e-Shop,NVLMaker,Indie,$1.8m ($1.1m - $2.5m),$6.2m
914010,Train Station Renovation,Live Motion Games,Indie,$1.2m ($776k - $1.6m),$3.2m
70110,Hacker Evolution: Untold,exosyphen studios,Indie,$44.8k ($22.4k - $67.3k),$647.6k
3107330,Nodebuster,Goblobin,Indie,$975.3k ($763.2k - $1.1m),$964.8k
651670,Star Renegades,Raw Fury,Indie,$1.8m ($1.1m - $2.5m),$99.5m
1394800,Rebirth:Mr Wang,DSGame,Indie,$1m ($225.4k - $1.7m),$15.4m
690640,Trine 4: The Nightmare Prince,Frozenbyte,Indie,$13.5m ($8m - $18.9m),$30.2m
594720,Star Merchant,Conglomerate 5,Indie,$8k ($3.2k - $12.8k),$2.5m
313340,Mountain,David OReilly,Indie,$644.5k ($360.8k - $928.3k),$2.4m
487720,Agony,Playway S.A.,Indie,$2m ($1.4m - $2.7m),$3m
218640,Lucius,Shiver Games,Indie,$4.3m ($2.8m - $5.8m),$5.2m
1625080,Have a Nice Dream,榭季生,Indie,0,$0 
1069740,Seen,Seen Games,Indie,$98.2k ($55.3k - $141.2k),$98.2k
1083600,Grow Defense,SoftCowGames,Indie,$10.6k ($6.8k - $14.4k),$10.6k
2442460,Citizen Sleeper 2: Starward Vector,Fellow Traveller,Indie,$945.5k ($697.4k - $1.1m),$16.8m
427730,Who's Your Daddy?!,Evil Tortilla Games,Indie,$12.1m ($7.9m - $16.3m),$12.2m
334120,Armikrog,Versus Evil,Indie,$608.4k ($417k - $799.7k),$33.5m
1178490,港詭實錄ParanormalHK,Ghostpie Studio,Indie,$8.9m ($5.7m - $12.1m),$8.9m
1390350,Webbed,Sbug Games,Indie,$2.7m ($1.9m - $3.4m),$2.8m
322190,SteamWorld Heist,Image & Form Games,Indie,$808.5k ($486k - $1.1m),$3.8m
1040420,Dreamscaper,indie.io,Indie,$1.3m ($855.3k - $1.8m),$36.8m
569970,Chosen 2,Senpai Industrial Studios,Indie,$10.8k ($5.8k - $15.9k),$1m
1517960,Rebirth:Beware of Mr.Wang,DSGame,Indie,$494.8k ($278.2k - $711.4k),$15.4m
625860,God Awe-full Clicker,Mad Labyrinth Studios LLC,Indie,$8.8k ($5.3k - $12.3k),$16k
1371630,Incremental Adventures,Gniller,Indie,$12.3k ($7.7k - $16.9k),$209.4k
1069640,This Land Is My Land,Game-Labs,Indie,$4.2m ($2.8m - $5.6m),$21m
2226700,挂姬恶魔 IDLE DEVILS,GOCORE,Indie,$92.7k ($66k - $119.5k),$284k
557600,Gorogoa,Annapurna Interactive,Indie,$4.2m ($2.6m - $5.7m),$188.4m
2555430,TRADESMAN: Deal to Dealer,AZAMATIKA,Indie,$148.1k ($100.6k - $195.6k),$579.7k
265210,Viscera Cleanup Detail: Santa's Rampage,RuneStorm,Indie,$409.9k ($203.6k - $616.1k),$14.5m
698540,Dungeon Warfare 2,Valsar,Indie,$635.5k ($367.3k - $903.8k),$960.9k
649950,Ashen,Annapurna Interactive,Indie,$2.8m ($1.9m - $3.6m),$188.4m
1874170,Shredders,FoamPunch,Indie,$2.9m ($1.8m - $3.9m),$2.8m
1239690,Retrowave,RewindApp,Indie,$769.5k ($471.9k - $1m),$1.8m
2665460,Windward Horizon,Tasharen Entertainment Inc.,Indie,$156.7k ($103.7k - $209.7k),$3.2m
1031480,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,东方幕华祭制作组,Indie,$468.3k ($322.4k - $614.1k),$703.8k
1202900,Assemble with Care,ustwo games,Indie,$1.4m ($988.6k - $1.8m),$4.9m
647960,Rusted Warfare - RTS,Corroding Games,Indie,$660.5k ($480.4k - $840.6k),$660.9k
1026820,Coloring Game,L. Stotch,Indie,$33k ($20.7k - $45.4k),$283.1k
2971610,HOLE,NEGAFISH,Indie,$410k ($298.7k - $521.3k),$410k
968440,Artist Idle,YDKR,Indie,$7.1k ($3.1k - $11.2k),$389.7k
899970,NEKOPARA Extra,Sekai Project,Indie,$379.6k ($167.7k - $591.6k),$39.2m
18040,DeathSpank,Electronic Arts,Indie,$697.1k ($359.1k - $1m),$4.5b
1057750,The Suicide of Rachel Foster,Daedalic Entertainment,Indie,$1m ($690.9k - $1.3m),$159.9m
