appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
33230,Assassin's Creed 2,Ubisoft,Adventure,$27.1m ($20.1m - $34.1m),$2.4b,3582.0,89.24,3500000.0,0.6646292806361868
1084600,My Time at Sandrock,Pathea Games,Adventure,$24m ($17.2m - $30.7m),$29.2m,21620.0,88.06,750000.0,0.6639563138698054
414340,Hellblade: Senua's Sacrifice,Ninja Theory,Adventure,$25.3m ($16.2m - $34.4m),$26m,5619.0,90.26,3500000.0,0.6592169210256332
32370,STAR WARS Knights of the Old Republic,LucasArts,Adventure,$14.7m ($9.5m - $20m),$124.9m,5593.0,91.07,3500000.0,0.6587118320661921
383180,Dead Island: Riptide Definitive Edition,Deep Silver,Adventure,$3.5m ($1.8m - $5.2m),$567.3m,20450.0,76.14,1500000.0,0.6505344652236908
2375550,Like a Dragon Gaiden: The Man Who Erased His Name,SEGA,Adventure,$9.6m ($7.2m - $12.1m),$1.6b,13737.0,95.98,350000.0,0.6445837989268502
3097560,Liar's Bar,Curve Animation,Card & Board,$39.7m ($23.2m - $56.1m),$39.5m,109419.0,90.09,3500000.0,0.7593709317083712
880940,Pummel Party,Rebuilt Games,Card & Board,$14.6m ($6.7m - $22.5m),$14.6m,20334.0,89.11,3500000.0,0.6874418907086127
2427700,Backpack Battles,IndieArk,Card & Board,$13.1m ($8.4m - $17.7m),$96m,36348.0,91.44,750000.0,0.6797329876801336
1189490,觅长生,Chalcedony Network,Card & Board,$13.7m ($8.8m - $18.6m),$13.7m,26379.0,93.28,1500000.0,0.6794946518565885
1676840,For The King II,Curve Games,Card & Board,$16.6m ($10.9m - $22.3m),$196.4m,28528.0,70.27,750000.0,0.6575199730531174
544810,KARDS - The WWII Card Game,1939 Games,Card & Board,$12.9m ($7.4m - $18.4m),$12.9m,8913.0,60.003,3500000.0,0.6303887739367725
434170,The Jackbox Party Pack 3,"Jackbox Games, Inc.",Card & Board,$13.9m ($8.6m - $19.3m),$65.9m,10894.0,96.56,350000.0,0.6297021952117688
2742830,Monster Train 2,Big Fan Games,Card & Board,$7.9m ($5.2m - $10.6m),$8.6m,18467.0,95.72,350000.0,0.6282728990938791
780290,Gloomhaven,Twin Sails Interactive,Card & Board,$14.2m ($9.3m - $19.2m),$35.3m,6900.0,83.18,750000.0,0.6168652532983688
329110,Gems of War - Puzzle RPG,505 Games,Card & Board,$14.5m ($8.6m - $20.4m),$293.6m,2965.0,73.73700000000001,1500000.0,0.606152305895451
