appid,name,genres,release_date,is_free,price,developers,publishers
497380,Rise,,"26 Jul, 2016",False,"₩ 17,400",Creative Assembly,War Child Gaming
1339620,Action SuperCross,,"17 Jun, 2020",False,"₩ 3,300","Elasto Mania Team, Balazs Rozsa",Elasto Mania Team
586340,Lamm,Action,"9 Feb, 2017",False,"₩ 1,100",Léo-Games,Léo-Games
1496350,Hamster Logic 3D,,"26 Jun, 2021",False,"₩ 1,100",Shoho Games,Shoho Games
1185820,Hollow Island,,"29 Jan, 2020",False,"₩ 11,000",Edym Pixels,Edym Pixels
1302730,Nebula Within,Action,"20 Oct, 2020",True,,Nick Oueijan,Strafe Studios
843660,Rogue Agent,,"29 Apr, 2018",True,,Jorge Aires,
1275180,Hunter X - Begin,Action,"16 Apr, 2020",False,"₩ 2,300",Goldfish Inc.,Goldfish Inc.
957570,The Qaedon Wars - The Story Begins,RPG,"12 Sep, 2019",False,"₩ 6,000",Ian C Pook,Paphian Games
807570,Volotic,,"9 Mar, 2018",False,"₩ 10,500",Scott Garner,Scott Garner
1132300,Ribbon,,"30 Aug, 2019",False,"₩ 2,200",Evade Game,Evade Game
1253110,System Invaders,Action,"27 Mar, 2020",True,,Prisma Games L.L.C.,Prisma Games L.L.C.
1124710,IS -Infinite Stratos- Versus Colors,Action,"5 Aug, 2019",False,"₩ 42,000",PROJECT YNP,PROJECT YNP
788870,In The Long Run The Game,"Action, Adventure","2 Jul, 2018",False,"₩ 10,500",Zerstoren Games,Zerstoren Games
1229510,Hentai Seek Girl,Adventure,"3 Feb, 2020",False,"₩ 2,200",HoneyGame,HoneyGame
1518120,Dystopians,,Coming soon,False,,Space Boat Studios,PlayWay S.A.
566490,Keen: One Girl Army,,"25 Jun, 2020",False,"₩ 5,500",Cat Nigiri,"Phoenixx Inc., 2P Games"
762480,Chinese inn,,"11 Jan, 2018",False,"₩ 8,500",ChaoYe Liu,Happy Home Company
333210,Kaiju-A-GoGo,Action,"23 Apr, 2015",False,"₩ 4,500",Kerberos Productions Inc.,Kerberos Productions Inc.
454900,Amaranthine,Action,"6 Apr, 2016",False,"₩ 3,400",Roman Kozhukhov,Roman Kozhukhov
419520,Lifeless,Action,"16 Jun, 2016",True,,Desync Donkeys,Desync Donkeys
1435540,Yachu Dice,,"22 Oct, 2020",False,"₩ 5,500",desigNULL,desigNULL
730760,Go! Go! Radio : 8-Bit Edition,Action,"29 Nov, 2017",False,"₩ 1,100",Bacq Stellan,
1108170,Plot of the Druid,Adventure,"1 Nov, 2022",False,"₩ 7,750","Yakir Israel, Adventure4Life Studios","Yakir Israel, Adventure4Life Studios"
514080,Deadly Dozen,"Action, Adventure","26 Jan, 2017",False,"₩ 4,720",N-Fusion Interactive,Ziggurat
1020050,Startup Valley Adventure,Adventure,"30 Jul, 2020",False,"₩ 7,500",Fair Games Studio,"Fair Games Studio, Pleasant Rain Ltd"
1238220,UNNAMED,Adventure,"2 Mar, 2020",False,"₩ 1,100",H3Soft,H3Soft
411830,SENRAN KAGURA SHINOVI VERSUS,Action,"1 Jun, 2016",False,"₩ 8,200",Tamsoft,"XSEED Games, Marvelous USA, Inc., Marvelous"
904960,Cine Tracer,,"28 Sep, 2018",False,"₩ 92,000",Matt Workman,Cinematography Database
1531490,Harmony's Odyssey,Adventure,"19 Oct, 2022",False,"₩ 15,500",MythicOwl,"MythicOwl, Neverland Entertainment"
494380,VR Boxing Workout,,"10 Jul, 2016",False,"₩ 1,920",Wenkly Studio,Wenkly Studio
1377410,Bountiful Life,,Coming Soon,False,,Alcinous Studios LLC,Alcinous Studios LLC
660320,M.A.C.E. Tower Defense,Action,"16 Jul, 2017",False,"₩ 3,400",EntwicklerX,EntwicklerX
846050,Silent Depth 3D Submarine Simulation,,"20 Aug, 2018",False,"₩ 11,000",Codeknitters,Codeknitters
1294720,Balloon Blast,Action,"5 Apr, 2021",True,,Leland Wilson,Leland Wilson
1239990,Dantes Bullet Inferno,Action,"19 Feb, 2020",False,"₩ 2,200",Red Pentagram Studios,Red Pentagram Studios
1018640,Pixel Happy Game Girls,,"16 Dec, 2022",True,,Pixel Happy Projects,Pixel Happy Projects
1110910,Mortal Shell,"Action, RPG","18 Aug, 2021",False,"₩ 30,000",Cold Symmetry,Playstack
42940,Elven Legacy: Siege,,"17 Nov, 2009",False,"₩ 2,300",1C:InoCo,Fulqrum Publishing
719590,Mesozoica,"Action, Adventure","2 Jan, 2018",False,"₩ 1,100","Underdog Interactive, Squadron Interactive, DreamInCode B.V.",Underdog Interactive
636560,Runewards: Strategy Card Game,RPG,"13 Feb, 2018",True,,ReaverGames,
449340,Serafina's Crown,Adventure,"15 Mar, 2016",False,"₩ 8,500",Woodsy Studio,Thesis Games
516810,The Garden,"Action, Adventure, RPG","6 Sep, 2016",False,"₩ 1,100",Pug & Dragon,Pug & Dragon
520660,Wrack: Exoverse,"Action, Adventure","10 Sep, 2019",False,"₩ 15,500",Final Boss Entertainment,Final Boss Entertainment
840440,Good Boy!,"Action, Adventure","2 May, 2018",False,"₩ 11,000",FastGame,FastGame
1476330,古龙传说,RPG,"12 Dec, 2020",True,,"温小雨, 畅玩网络","温小雨, 畅玩网络"
1128330,Celestial,,"17 Sep, 2019",False,"₩ 2,200",Conor Davis,Conor Davis
747200,Keplerth,"Adventure, RPG","23 May, 2022",False,"₩ 15,500",TARO,Gamirror Games
990940,Full Of Love,Adventure,"11 Apr, 2019",False,"₩ 1,100",Folo Studio,Folo Studio 
498460,Abduction Prologue: The Story Of Jonathan Blake,"Action, Adventure","11 Apr, 2018",False,"₩ 2,300",Red Iron Labs,Red Iron Labs
486660,Super Mixtape,,"24 Oct, 2016",False,"₩ 13,500",Polygrammatic Limited,Polygrammatic Limited
619490,Fear of Clowns,"Action, Adventure","29 Apr, 2017",False,"₩ 1,100",Mikhail Nevsky,Mikhail Nevsky
861270,Sudoku Killer / 杀手数独,,"19 Oct, 2018",False,"₩ 3,400",Konstructors,Hook Games
1320810,Externus: Path of the Solari,RPG,Coming soon,False,,Winterborn,Winterborn
