appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
243820,MotoGP 13 Demo,"Racing, Simulation, Sports",,,,Milestone S.r.l.,Milestone S.r.l.,0.0,steamspy,105.0,True
298000,MotoGP 14 Demo,"Racing, Simulation, Sports",,,,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",0.0,steamspy,24.0,True
297980,MotoGP14 Red Bull Rookies Cup DLC,"Racing, Simulation, Sports",,,,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",0.0,steamspy,,True
297950,MotoGP14 Season Pass,"Racing, Sports",,,,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",0.0,steamspy,,True
374810,MotoGP15: Season Pass,"Racing, Simulation, Sports",,,,Milestone S.r.l.,Milestone S.r.l.,0.0,steamspy,,True
1513950,Motor Assailant: Prologue,"Racing, Shooter",,,,DSW Games,DSW Games,0.0,steamspy,5.0,True
347120,Motorcycle Club Demo,Racing,,,,Kylotonn Entertainment,"Bigben Interactive, Plug In Digital",0.0,steamspy,,True
48710,Mount & Blade: Warband Demo,"Action, Adventure, Indie, RPG, Simulation, Strategy",,,,Tale Worlds,Tale Worlds,0.0,steamspy,,True
80952,Mount & Blade: Warband Trailer,"Action, Adventure, Indie, RPG, Simulation, Strategy",,,,,,0.0,steamspy,,True
80951,Mount & Blade: With Fire & Sword Trailer,"Action, Adventure, Indie, RPG, Simulation, Strategy",,,,,,0.0,steamspy,,True
748710,Mount Hill Demo,"Action, Horror, Indie, Survival",,,,Black Side,Black Side,0.0,steamspy,,True
22110,Mount and Blade Demo,"Action, Adventure, Indie, RPG, Simulation, Strategy",,,,Tale Worlds,Paradox Interactive,0.0,steamspy,,True
81583,Mount and Blade Napoleonic Wars Trailer,"Action, Massively Multiplayer, RPG, Shooter, Simulation, Strategy",,,,Tale Worlds,,0.0,steamspy,,True
833850,Mountain Racing Demo,"Adventure, Racing",,,,Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,0.0,steamspy,,True
704870,Mountaineer Demo,Adventure,,,,Cryobolt Interactive,Cryobolt Interactive,0.0,steamspy,,True
1909220,Movie Quest,"Adventure, Casual, Indie, Massively Multiplayer, Simulation",,,,MrSpartano,,0.0,steamspy,,True
331610,Movie Studio Boss: The Sequel,"Casual, Indie, Simulation",,,,Eddy & Gary & Friends,,0.0,steamspy,52.0,True
333200,Movie Studio Boss: The Sequel Demo,"Casual, Indie, Simulation",,,,Eddy & Gary & Friends,,0.0,steamspy,,True
1952960,Movie Theater Simulator,"Indie, Simulation",,,,Movie Theater Simulator,Movie Theater Simulator,0.0,steamspy,1.0,True
1470220,Movie Tycoon Simulator 2020,Simulation,,,,Tim Rachor,Tim Rachor,0.0,steamspy,,True
1576280,Moviehouse – The Film Studio Tycoon,"Casual, Simulation, Strategy",,,,Odyssey Studios,Assemble Entertainment,0.0,steamspy,,True
1243150,Mr Maker 3D Level Editor,"Adventure, Indie, Platformer",,,,Derik D.F,Derik D.F,0.0,steamspy,,True
20730,Mr. Robot Demo,"Action, Indie, Puzzle, Strategy",,,,Moonpod,Moonpod,0.0,steamspy,,True
615260,Mr. Shifty OST,"Action, Adventure, Indie",,,,Team Shifty,tinyBuild,0.0,steamspy,,True
434640,Mu Complex Demo,"Adventure, Indie, Puzzle",,,,studiocime,studiocime,0.0,steamspy,,True
891810,MudRunner - American Wilds Expansion,Simulation,,,,Saber Interactive,Focus Entertainment,0.0,steamspy,,True
1024110,MudRunner - Old-timers DLC,Simulation,,,,Saber Interactive,Focus Home Interactive,0.0,steamspy,,True
816790,MudRunner - The Ridge DLC,Simulation,,,,Saber Interactive,Focus Home Interactive,0.0,steamspy,,True
782230,MudRunner - The Valley DLC,"Adventure, Simulation",,,,Saber Interactive,Focus Home Interactive,0.0,steamspy,,True
403455,Mugen Souls - Mega Costume Bundle 1,"Adventure, RPG, Strategy",,,,Idea Factory,Ghostlight LTD,0.0,steamspy,,True
403457,Mugen Souls - Mega Costume Bundle 2,"Adventure, RPG, Strategy",,,,idea Factory,Ghostlight LTD,0.0,steamspy,,True
780650,Mula: The Cycle of Shadow Demo,"Action, Indie, Platformer, RPG",,,,Boozer Game Studios,Boozer Game Studios,0.0,steamspy,,True
550070,Multimirror - Soundtrack,"Casual, Indie",,,,Cleverweek,,0.0,steamspy,,True
628440,Multiplayer FPS Demo,"Action, Casual, Indie",,,,Vitor Pêgas,Oryzhon Studios,0.0,steamspy,,True
1540,Multiwinia Demo,"Indie, Strategy",,,,Introversion Software,Introversion Software,0.0,steamspy,,True
5137,Multiwinia Official Trailer,"Indie, Strategy",,,,Introversion Software,Introversion Software,0.0,steamspy,,True
5068,Multiwinia Trailer 1 - Domination,"Indie, Strategy",,,,Introversion Software,Introversion Software,0.0,steamspy,,True
5081,Multiwinia Trailer 2 - King of the Hill,"Indie, Strategy",,,,,,0.0,steamspy,,True
5082,Multiwinia Trailer 3 - Capture the Statue,"Indie, Strategy",,,,Introversion Software,Introversion Software,0.0,steamspy,,True
5087,Multiwinia Trailer 4 - Rocket Riot,"Indie, Strategy",,,,Introversion Software,Introversion Software,0.0,steamspy,,True
5088,Multiwinia Trailer 5 - Blitzkrieg,"Indie, Strategy",,,,Introversion Software,Introversion Software,0.0,steamspy,,True
5092,Multiwinia Trailer 6 - Assault,"Indie, Strategy",,,,Introversion Software,Introversion Software,0.0,steamspy,,True
560520,Munch Demo,"Adventure, Casual, Indie",,,,Mostly Harmless Games,Mostly Harmless Games,0.0,steamspy,,True
1068560,Muppy The Bunny : The Danger of Wishes Demo,"Action, Adventure, Indie",,,,"Laurie Hanners, Skyler Hanners",Laurie Hanners,0.0,steamspy,,True
461050,Murasaki - Original Soundtrack,Indie,,,,"Katatema, Watson",PLAYISM,0.0,steamspy,,True
938610,Murderous Pursuits Official Soundtrack,"Action, Indie, Simulation, Strategy",,,,Blazing Griffin,,0.0,steamspy,,True
387921,Mushihimesama OST,Action,,,,"CAVE Interactive CO., LTD.",KOMODO,0.0,steamspy,,True
408070,Mushroom 11 Soundtrack - The Future Sound of London,"Action, Adventure, Indie",,,,"Untame, The Future Sound of London",Untame,0.0,steamspy,,True
731130,Mushroom Wars 2 - Official Soundtrack,"Action, Indie, Strategy",,,,Zillion Whales,Azur Games,0.0,steamspy,,True
461800,Music - Hearts of Iron IV: Sabaton Soundtrack,Strategy,,,,Paradox Development Studios,Paradox Interactive,0.0,steamspy,,True
840280,Music Boy 3D Demo,"Action, Indie",,,,Victor Pukman,Victor Pukman,0.0,steamspy,,True
1204920,Music Visualizer Engine PC Live Wallpaper,Simulation,,,,3dm_live_wallpapers,3dm_live_wallpapers,0.0,steamspy,,True
884762,Mutant Football League - Demonic Legion Pack,"Action, Indie, Sports",,,,Digital Dreams Entertainment,Digital Dreams Entertainment,0.0,steamspy,,True
587600,Mutant Football League Demo,"Action, Indie, Sports",,,,Digital Dreams Entertainment LLC,Digital Dreams Entertainment LLC,0.0,steamspy,20.0,True
81503,Mutant Storm Reloaded Trailer,"Action, Indie, Shooter",,,,,,0.0,steamspy,,True
489500,Muv-Luv: Wallpaper Pack,Adventure,,,,ixtl,,0.0,steamspy,,True
753430,My Big Sister Demo,"Adventure, Horror, Indie, RPG",,,,Stranga Games,GrabTheGames,0.0,steamspy,,True
922580,My Brother Rabbit - Original Soundtrack,"Adventure, Casual, Indie",,,,Artifex Mundi,Artifex Mundi,0.0,steamspy,,True
1107290,My Friend Pedro Soundtrack,"Action, Indie",,,,DeadToast Entertainment,Devolver Digital,0.0,steamspy,,True
915000,My Girlfriend is a Mermaid!? Demo,"Indie, Visual Novel",,,,"COSEN, TALESSHOP",Narrator,0.0,steamspy,,True
316542,My Lands: Age of Prosperity - Premium DLC Pack,"Adventure, Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
326691,My Lands: Builder - Artifact DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
316541,My Lands: Elf Ranger - Artifact DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
316500,My Lands: Golden Age - Premium DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
316530,My Lands: Hero Courage - Extended DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
326690,My Lands: Highlander - Artifact DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
316510,My Lands: Miner’s Luck - Extended DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
313311,My Lands: Miner’s Luck - Starter DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
313300,My Lands: Swift Rise - Starter DLC Pack,"Casual, Indie, Massively Multiplayer, Strategy",,,,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY LIMITED,0.0,steamspy,,True
2475350,My Little Blood Cult: Let's Summon Demons,"Action, Adventure, Casual, Horror, Simulation",,,,Dillo Interactive,Dillo Interactive,0.0,steamspy,,True
832580,My Lovely Daughter - Original Soundtrack,"Adventure, Indie, Simulation",,,,GameChanger Studio,"Toge Productions, Neon Doctrine",0.0,steamspy,,True
820060,My Lovely Daughter Demo,"Adventure, Horror, Indie, Simulation",,,,GameChanger Studio,"Toge Productions, Another Indie",0.0,steamspy,,True
2183430,My Lovey-Dovey Demon,"Casual, Visual Novel",,,,ebi-hime,ebi-hime,0.0,steamspy,,True
952650,My Magical Demon Lover - Cheat Map,"Indie, Simulation",,,,Y Press Games,Y Press Games,0.0,steamspy,,True
